projected,top10,actual,name,draftkings_id,position,salary,team,opponent-rank,ppg,home,goalie,center,defense,wing,homeXgoalie,homeXcenter,homeXdefense,homeXwing,ppgXgoalie,ppgXcenter,ppgXdefense,ppgXwing,homeXppg,homeXor,ppgXor
,,,Antti Raanta,736974,G,9200,CHI,7,6.5,1,1,0,0,0,1,0,0,0,6.5,0.0,0.0,0.0,6.5,7,45.5
,,,Carey Price,300782,G,9000,CHI,22,5.0,0,1,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0,110.0
,,,Corey Crawford,231130,G,8900,CHI,7,5.1,1,1,0,0,0,1,0,0,0,5.1,0.0,0.0,0.0,5.1,7,35.699999999999996
,,,Corey Perry,229391,RW,8800,MIN,4,4.5,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0,18.0
,,,Patrick Kane,392942,RW,8500,CHI,17,4.2,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,4.2,4.2,17,71.4
,,,Zach Parise,229381,LW,8300,MIN,9,4.5,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,4.5,4.5,9,40.5
,,,Frederik Andersen,556379,G,8300,MIN,20,4.6,0,1,0,0,0,0,0,0,0,4.6,0.0,0.0,0.0,0.0,0,92.0
,,,Michael Hutchinson,543477,G,8200,WPG,21,5.0,1,1,0,0,0,1,0,0,0,5.0,0.0,0.0,0.0,5.0,21,105.0
,,,Ryan Getzlaf,229383,C,8000,MIN,4,4.2,0,0,1,0,0,0,0,0,0,0.0,4.2,0.0,0.0,0.0,0,16.8
,,,Semyon Varlamov,329657,G,7700,WPG,30,4.1,0,1,0,0,0,0,0,0,0,4.1,0.0,0.0,0.0,0.0,0,122.99999999999999
,,,Max Pacioretty,392964,LW,7700,CHI,5,4.1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,4.1,0.0,0,20.5
,,,Gabriel Landeskog,600076,LW,7400,WPG,20,3.5,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3.5,0.0,0,70.0
,,,Darcy Kuemper,547403,G,7200,MIN,11,4.2,1,1,0,0,0,1,0,0,0,4.2,0.0,0.0,0.0,4.2,11,46.2
,,,Niklas Backstrom,326034,G,7000,MIN,11,3.3,1,1,0,0,0,1,0,0,0,3.3,0.0,0.0,0.0,3.3,11,36.3
,,,Matt Duchene,504249,C,7000,WPG,6,3.5,0,0,1,0,0,0,0,0,0,0.0,3.5,0.0,0.0,0.0,0,21.0
,,,Ondrej Pavelec,339607,G,6700,WPG,21,4.0,1,1,0,0,0,1,0,0,0,4.0,0.0,0.0,0.0,4.0,21,84.0
,,,Scott Darling,655193,G,6700,CHI,7,5.6,1,1,0,0,0,1,0,0,0,5.6,0.0,0.0,0.0,5.6,7,39.199999999999996
,,,Nathan MacKinnon,741404,C,6700,WPG,6,3.3,0,0,1,0,0,0,0,0,0,0.0,3.3,0.0,0.0,0.0,0,19.799999999999997
,,,Reto Berra,732732,G,6600,WPG,30,1.9,0,1,0,0,0,0,0,0,0,1.9,0.0,0.0,0.0,0.0,0,57.0
,,,Jason Pominville,176123,RW,6500,MIN,20,3.5,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,3.5,3.5,20,70.0
,,,Brad Richards,171090,C,6400,CHI,12,3.1,1,0,1,0,0,0,1,0,0,0.0,3.1,0.0,0.0,3.1,12,37.2
,,,Dustin Tokarski,489286,G,6400,CHI,22,3.9,0,1,0,0,0,0,0,0,0,3.9,0.0,0.0,0.0,0.0,0,85.8
,,,Igor Bobkov,571307,G,6400,MIN,20,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
,,,Evander Kane,504252,LW,6300,WPG,24,3.3,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,3.3,3.3,24,79.19999999999999
,,,P.K. Subban,478197,D,6200,CHI,6,3.2,0,0,0,1,0,0,0,0,0,0.0,0.0,3.2,0.0,0.0,0,19.200000000000003
,,,Kris Versteeg,326141,LW,6000,CHI,21,3.4,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,3.4,3.4,21,71.39999999999999
,,,Dustin Byfuglien,296054,RW,5800,WPG,28,2.8,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.8,2.8,28,78.39999999999999
,,,Jacob Trouba,659853,D,5700,WPG,21,3.0,1,0,0,1,0,0,0,1,0,0.0,0.0,3.0,0.0,3.0,21,63.0
,,,Blake Wheeler,268147,RW,5600,WPG,28,3.4,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,3.4,3.4,28,95.2
,,,Jonathan Toews,329563,C,5500,CHI,12,3.3,1,0,1,0,0,0,1,0,0,0.0,3.3,0.0,0.0,3.3,12,39.599999999999994
,,,Tyson Barrie,593095,D,5400,WPG,10,3.2,0,0,0,1,0,0,0,0,0,0.0,0.0,3.2,0.0,0.0,0,32.0
,,,Marian Hossa,170695,RW,5300,CHI,17,3.2,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,3.2,3.2,17,54.400000000000006
,,,Duncan Keith,184268,D,5300,CHI,17,3.4,1,0,0,1,0,0,0,1,0,0.0,0.0,3.4,0.0,3.4,17,57.8
,,,Andrew Ladd,268146,LW,5300,WPG,24,3.2,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,3.2,3.2,24,76.80000000000001
,,,Jarome Iginla,170514,RW,5100,WPG,2,2.5,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.5,0.0,0,5.0
,,,Ryan Kesler,228968,C,5100,MIN,4,3.3,0,0,1,0,0,0,0,0,0,0.0,3.3,0.0,0.0,0.0,0,13.2
,,,Brent Seabrook,229378,D,5100,CHI,17,3.4,1,0,0,1,0,0,0,1,0,0.0,0.0,3.4,0.0,3.4,17,57.8
,,,Bryan Little,329645,C,5100,WPG,26,2.8,1,0,1,0,0,0,1,0,0,0.0,2.8,0.0,0.0,2.8,26,72.8
,,,Ryan Suter,229371,D,5000,MIN,18,3.0,1,0,0,1,0,0,0,1,0,0.0,0.0,3.0,0.0,3.0,18,54.0
,,,Erik Johnson,329560,D,5000,WPG,10,3.3,0,0,0,1,0,0,0,0,0,0.0,0.0,3.3,0.0,0.0,0,33.0
,,,Ryan O'Reilly,522130,LW,5000,WPG,20,2.7,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.7,0.0,0,54.0
,,,Tomas Plekanec,172738,C,4800,CHI,10,3.4,0,0,1,0,0,0,0,0,0,0.0,3.4,0.0,0.0,0.0,0,34.0
,,,Sami Vatanen,597137,D,4800,MIN,4,3.6,0,0,0,1,0,0,0,0,0,0.0,0.0,3.6,0.0,0.0,0,14.4
,,,Mikko Koivu,177011,C,4700,MIN,11,2.5,1,0,1,0,0,0,1,0,0,0.0,2.5,0.0,0.0,2.5,11,27.5
,,,Matt Beleskey,450848,LW,4700,MIN,12,3.1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3.1,0.0,0,37.2
,,,Nino Niederreiter,550755,RW,4600,MIN,20,3.0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,3.0,3.0,20,60.0
,,,Brendan Gallagher,555807,RW,4500,CHI,9,2.8,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.8,0.0,0,25.2
