Pid,Pn,Name,S,Team,Or,Ppg,Projected
831066,D,Aaron Ekblad,"4,000.00",,7.00,2.70,2.16
456829,D,Jake Gardiner,"3,700.00",,30.00,1.80,2.16
467252,D,Yannick Weber,"3,300.00",,27.00,1.80,2.16
302865,D,Marc-Edouard Vlasic,"3,000.00",,29.00,1.80,2.16
541196,D,Ryan Stanton,"2,700.00",,27.00,1.80,2.16
172864,D,Christian Ehrhoff,"4,200.00",,12.00,2.10,2.10
554520,D,Radko Gudas,"3,200.00",,16.00,2.10,2.10
659859,D,Cody Ceci,"3,100.00",,14.00,2.10,2.10
450762,D,Alec Martinez,"3,800.00",,8.00,0.00,0.00
172182,D,Dennis Seidenberg,"3,700.00",,1.00,2.60,2.08
504279,D,Calvin de Haan,"3,000.00",,26.00,1.70,2.04
297844,D,Nicklas Grossmann,"2,800.00",,28.00,1.70,2.04
456831,D,Luca Sbisa,"2,500.00",,27.00,1.70,2.04
652695,D,Torey Krug,"4,200.00",,1.00,2.50,2.00
659868,D,Olli Maatta,"3,900.00",,12.00,2.00,2.00
547077,D,Eric Gelinas,"3,400.00",,15.00,2.00,2.00
741453,D,Mirco Mueller,"2,600.00",,29.00,1.60,1.92
456628,D,Luke Schenn,"2,500.00",,28.00,1.60,1.92
177791,D,Paul Martin,"3,100.00",,12.00,1.90,1.90
456704,D,Tyler Myers,"4,100.00",,10.00,2.30,1.84
172491,D,Brooks Orpik,"3,400.00",,3.00,2.30,1.84
172653,D,Zbynek Michalek,"3,400.00",,9.00,2.30,1.84
600078,D,Adam Larsson,"3,100.00",,15.00,1.80,1.80
300799,D,Jakub Kindl,"2,600.00",,20.00,1.80,1.80
547476,D,Korbinian Holzer,"2,500.00",,30.00,1.50,1.80
653361,D,Matt Tennyson,"2,500.00",,29.00,1.50,1.80
300809,D,Matt Niskanen,"4,500.00",,3.00,2.20,1.76
501534,D,Jordie Benn,"2,600.00",,23.00,1.60,1.76
232379,D,John-Michael Liles,"3,500.00",,13.00,1.70,1.70
230687,D,Matthew Carle,"3,400.00",,16.00,1.70,1.70
521554,D,Robert Bortuzzo,"3,300.00",,12.00,1.70,1.70
392971,D,Brendan Smith,"3,100.00",,20.00,1.70,1.70
504319,D,Simon Despres,"2,500.00",,12.00,1.70,1.70
741407,D,Seth Jones,"3,200.00",,21.00,1.50,1.65
479603,D,Jason Demers,"3,100.00",,23.00,1.50,1.65
595927,D,Mattias Ekholm,"2,500.00",,21.00,1.50,1.65
170944,D,Brian Campbell,"3,600.00",,7.00,2.00,1.60
170561,D,Chris Phillips,"2,500.00",,14.00,1.60,1.60
544107,D,Matt Irwin,"3,000.00",,29.00,1.30,1.56
229372,D,Braydon Coburn,"2,900.00",,28.00,1.30,1.56
589971,D,Brenden Dillon,"2,600.00",,29.00,1.30,1.56
170840,D,Stephane Robidas,"2,500.00",,30.00,1.30,1.56
452133,D,Tyson Strachan,"2,900.00",,10.00,1.90,1.52
171099,D,Willie Mitchell,"2,800.00",,7.00,1.90,1.52
543483,D,Patrick Wiercioch,"2,900.00",,14.00,1.50,1.50
172597,D,Jay Harrison,"2,500.00",,13.00,1.50,1.50
178005,D,Tim Gleason,"2,500.00",,13.00,1.50,1.50
397070,D,David Schlemko,"3,300.00",,9.00,1.80,1.44
741411,D,Rasmus Ristolainen,"3,300.00",,10.00,1.80,1.44
235763,D,Deryk Engelland,"2,500.00",,22.00,1.30,1.43
296124,D,Kyle Quincey,"2,900.00",,20.00,1.40,1.40
323580,D,Peter Harrold,"2,900.00",,15.00,1.40,1.40
171342,D,Ron Hainsey,"2,500.00",,13.00,1.40,1.40
326026,D,Jonathan Ericsson,"2,500.00",,20.00,1.40,1.40
504260,D,Jared Cowen,"2,500.00",,14.00,1.40,1.40
600120,D,Connor Murphy,"2,700.00",,9.00,0.00,0.00
172472,D,Anton Volchenkov,"2,500.00",,21.00,1.20,1.32
172593,D,Carlo Colaiacovo,"2,500.00",,28.00,1.10,1.32
268151,D,Ladislav Smid,"2,500.00",,22.00,0.00,0.00
504763,D,Brian Strait,"2,500.00",,26.00,1.10,1.32
600110,D,Jamie Oleksiak,"2,500.00",,23.00,1.20,1.32
504287,D,Dmitry Kulikov,"3,400.00",,7.00,1.60,1.28
392946,D,Karl Alzner,"2,500.00",,3.00,1.60,1.28
556404,D,Zach Trotman,"2,500.00",,1.00,1.60,1.28
600125,D,Joseph Morrow,"2,500.00",,1.00,1.60,1.28
400976,D,Mike Weber,"2,700.00",,10.00,1.50,1.20
544879,D,Matt Bartkowski,"2,700.00",,1.00,1.50,1.20
504313,D,Dylan Olsen,"2,600.00",,7.00,1.50,1.20
550753,D,Erik Gudbranson,"2,500.00",,7.00,1.50,1.20
568608,D,Brayden McNabb,"3,000.00",,8.00,1.40,1.12
495305,D,Jamie McBain,"2,900.00",,8.00,1.40,1.12
170982,D,Robyn Regehr,"2,500.00",,8.00,1.40,1.12
184273,D,Matt Greene,"2,500.00",,8.00,1.40,1.12
479737,D,Brian Lashoff,"2,500.00",,20.00,1.10,1.10
728700,D,Andrej Sustr,"2,500.00",,16.00,1.10,1.10
269238,D,Andrej Meszaros,"3,000.00",,10.00,0.00,0.00
729825,D,Nate Schmidt,"2,500.00",,3.00,1.30,1.04
178001,D,Rob Scuderi,"2,500.00",,12.00,1.00,1.00
543480,D,Eric Gryba,"2,500.00",,14.00,0.90,0.90
302331,D,Andre Benoit,"2,500.00",,10.00,1.10,0.88
594808,D,Kevan Miller,"2,500.00",,1.00,1.10,0.88
615332,D,Jyrki Jokipakka,"2,500.00",,23.00,0.80,0.88
329663,D,Chris Summers,"2,500.00",,9.00,1.00,0.80
591919,D,Mark Borowiecki,"2,500.00",,14.00,0.80,0.80
170824,D,Scott Hannan,"2,500.00",,29.00,0.50,0.60
735639,D,Seth Helgeson,"2,500.00",,15.00,0.60,0.60
741448,D,Nikita Zadorov,"2,500.00",,10.00,0.70,0.56
595928,D,Raphael Diaz,"2,500.00",,22.00,0.50,0.55
498232,D,Victor Bartley,"2,500.00",,21.00,0.40,0.44
544188,D,Michal Jordan,"2,500.00",,13.00,0.40,0.40
547487,D,Mark Barberio,"2,500.00",,16.00,0.30,0.30
447411,D,Jack Hillen,"2,500.00",,3.00,0.30,0.24
522376,D,Colby Robak,"2,500.00",,7.00,0.30,0.24
593664,D,Matt Donovan,"2,500.00",,26.00,0.10,0.12
170137,D,Ed Jovanovski,"2,500.00",,7.00,0.00,0.00
610897,D,Frank Corrado,"2,500.00",,27.00,0.00,0.00
297473,G,Pekka Rinne,"8,800.00",,26.00,5.90,8.26
298149,G,Jimmy Howard,"6,900.00",,28.00,4.70,6.58
555795,G,Petr Mrazek,"6,700.00",,28.00,0.00,0.00
296723,G,Jaroslav Halak,"9,500.00",,15.00,6.00,6.00
229367,G,Marc-Andre Fleury,"9,000.00",,16.00,5.90,5.90
380901,G,Jonathan Quick,"8,500.00",,13.00,5.50,5.50
326023,G,Karri Ramo,"8,100.00",,24.00,5.00,6.50
326139,G,Thomas Greiss,"8,100.00",,16.00,0.00,0.00
446721,G,Ben Bishop,"8,300.00",,23.00,4.90,6.37
172497,G,Ryan Miller,"8,700.00",,17.00,5.10,5.10
451384,G,Antti Niemi,"7,200.00",,25.00,4.50,5.85
386403,G,Jonas Hiller,"6,400.00",,24.00,0.00,0.00
300802,G,Tuukka Rask,"9,200.00",,18.00,4.80,4.80
382350,G,Steve Mason,"7,100.00",,21.00,4.30,5.59
176834,G,Craig Anderson,"7,700.00",,9.00,5.80,4.64
496352,G,Alex Stalock,"6,800.00",,25.00,0.00,0.00
329644,G,Jonathan Bernier,"7,000.00",,12.00,4.40,4.40
479871,G,Martin Jones,"7,200.00",,13.00,4.30,4.30
268156,G,Devan Dubnyk,"8,400.00",,2.00,0.00,0.00
521575,G,Robin Lehner,"7,200.00",,9.00,0.00,0.00
170836,G,Roberto Luongo,"7,400.00",,6.00,4.70,3.76
446889,G,James Reimer,"6,400.00",,12.00,0.00,0.00
656680,G,Niklas Svedberg,"6,300.00",,18.00,0.00,0.00
178023,G,Ray Emery,"6,200.00",,21.00,0.00,0.00
454231,G,Jhonas Enroth,"7,900.00",,1.00,4.50,3.60
386814,G,Michal Neuvirth,"6,700.00",,1.00,0.00,0.00
172139,G,Kari Lehtonen,"7,100.00",,5.00,0.00,0.00
269241,G,Cory Schneider,"7,300.00",,3.00,4.20,3.36
483697,G,Braden Holtby,"6,800.00",,4.00,3.90,3.12
172223,G,Cam Ward,"6,600.00",,8.00,3.90,3.12
542954,G,Carter Hutton,"6,400.00",,26.00,0.00,0.00
507427,G,Chad Johnson,"6,600.00",,15.00,0.00,0.00
170908,G,Evgeni Nabokov,"6,500.00",,23.00,0.00,0.00
268148,G,Al Montoya,"6,300.00",,6.00,0.00,0.00
172862,G,Mike Smith,"6,600.00",,2.00,0.00,0.00
543662,G,Eddie Lack,"6,300.00",,17.00,0.00,0.00
395751,G,Anton Khudobin,"6,600.00",,8.00,0.00,0.00
301765,G,Justin Peters,"6,200.00",,4.00,0.00,0.00
547322,G,Anders Lindback,"6,400.00",,5.00,0.00,0.00
171394,G,Scott Clemmensen,"6,200.00",,3.00,0.00,0.00
547717,G,Jacob Markstrom,"6,400.00",,17.00,0.00,0.00
458860,LW,Jamie Benn,"8,200.00",,29.00,4.20,5.88
392943,LW,James van Riemsdyk,"6,600.00",,30.00,3.80,4.56
301959,LW,James Neal,"5,300.00",,16.00,3.60,3.60
170699,LW,Patrick Marleau,"6,100.00",,12.00,3.50,3.50
615345,LW,Ondrej Palat,"4,500.00",,27.00,2.90,3.48
610588,LW,Johnny Gaudreau,"4,800.00",,26.00,2.80,3.36
651621,LW,Alex Killorn,"5,000.00",,27.00,2.70,3.24
245514,LW,Curtis Glencross,"4,600.00",,26.00,2.60,3.12
296050,LW,Clarke MacArthur,"4,600.00",,13.00,3.10,3.10
522267,LW,Tomas Tatar,"4,900.00",,19.00,3.00,3.00
172169,LW,Joffrey Lupul,"4,700.00",,30.00,2.50,3.00
447451,LW,Justin Abdelkader,"4,400.00",,19.00,0.00,0.00
736539,LW,Michael Raffl,"3,400.00",,22.00,2.70,2.97
594801,LW,Antoine Roussel,"3,400.00",,29.00,2.40,2.88
228978,LW,Chris Kunitz,"5,600.00",,8.00,3.50,2.80
414433,LW,Brad Marchand,"4,000.00",,24.00,2.50,2.75
386162,LW,Nikolai Kulemin,"3,800.00",,25.00,2.50,2.75
171088,LW,Daniel Sedin,"5,400.00",,4.00,3.40,2.72
550757,LW,Jeff Skinner,"5,900.00",,2.00,3.20,2.56
172301,LW,Michael Cammalleri,"5,700.00",,10.00,3.20,2.56
741463,LW,Andre Burakovsky,"3,400.00",,23.00,2.30,2.53
522606,LW,Mike Hoffman,"3,400.00",,13.00,2.50,2.50
398616,LW,Milan Lucic,"4,400.00",,24.00,2.20,2.42
172150,LW,Chris Higgins,"4,900.00",,4.00,3.00,2.40
335301,LW,Matt Moulson,"4,900.00",,11.00,2.40,2.40
171251,LW,Erik Cole,"2,800.00",,29.00,2.00,2.40
323129,LW,Daniel Winnik,"2,900.00",,30.00,1.90,2.28
552325,LW,Lance Bouma,"2,600.00",,26.00,1.90,2.28
329541,LW,Jiri Tlusty,"4,500.00",,2.00,2.80,2.24
456701,LW,Josh Bailey,"2,900.00",,25.00,2.00,2.20
303078,LW,Blake Comeau,"4,200.00",,8.00,2.70,2.16
456700,LW,Mikkel Boedker,"4,100.00",,9.00,2.70,2.16
451466,LW,Nathan Gerbe,"3,700.00",,2.00,2.60,2.08
741406,LW,Jonathan Drouin,"3,200.00",,27.00,1.60,1.92
659862,LW,Tomas Hertl,"4,000.00",,12.00,1.90,1.90
659876,LW,Tanner Pearson,"3,200.00",,6.00,2.30,1.84
228966,LW,Milan Michalek,"3,200.00",,13.00,1.80,1.80
607597,LW,Matthew Nieto,"3,000.00",,12.00,1.80,1.80
600077,LW,Jonathan Huberdeau,"4,400.00",,1.00,2.10,1.68
229377,LW,Dustin Brown,"4,200.00",,6.00,2.10,1.68
172179,LW,Eric Nystrom,"3,100.00",,16.00,1.60,1.60
324924,LW,Drew Miller,"2,500.00",,19.00,1.50,1.50
594735,LW,Cory Conacher,"2,500.00",,25.00,1.30,1.43
829696,LW,Pierre-Edouard Bellemare,"2,500.00",,22.00,1.30,1.43
269234,LW,Lauri Korpikoski,"2,700.00",,9.00,1.70,1.36
171321,LW,Jason Chimera,"2,800.00",,23.00,1.20,1.32
520230,LW,Matt Martin,"2,500.00",,25.00,1.20,1.32
562974,LW,Taylor Beck,"3,200.00",,16.00,1.30,1.30
522049,LW,Marcus Foligno,"2,600.00",,11.00,1.30,1.30
184079,LW,Tuomo Ruutu,"3,000.00",,10.00,1.50,1.20
171102,LW,Martin Havlat,"2,900.00",,10.00,0.00,0.00
597130,LW,Nicolas Deslauriers,"2,600.00",,11.00,1.20,1.20
600108,LW,Sven Baertschi,"2,500.00",,26.00,1.00,1.20
172231,LW,Sean Bergenheim,"3,900.00",,1.00,1.40,1.12
521640,LW,Kyle Clifford,"2,800.00",,6.00,1.40,1.12
456826,LW,Zach Boychuk,"2,500.00",,2.00,1.40,1.12
543573,LW,Brandon Bollig,"2,500.00",,26.00,0.90,1.08
555764,LW,Michael Ferland,"2,500.00",,26.00,0.90,1.08
172168,LW,Daniel Paille,"2,600.00",,24.00,0.90,0.99
170941,LW,Simon Gagne,"2,500.00",,24.00,0.90,0.99
172235,LW,Tomas Fleischmann,"2,800.00",,1.00,1.20,0.96
478204,LW,Dwight King,"2,500.00",,6.00,1.20,0.96
452080,LW,Rob Klinkhammer,"2,500.00",,9.00,1.10,0.88
170997,LW,Brenden Morrow,"2,500.00",,27.00,0.70,0.84
174717,LW,Travis Moen,"2,500.00",,29.00,0.70,0.84
170546,LW,Dainius Zubrus,"2,500.00",,10.00,1.00,0.80
512065,LW,Zac Rinaldo,"2,500.00",,22.00,0.70,0.77
555106,LW,Craig Cunningham,"2,500.00",,24.00,0.70,0.77
173242,LW,Shawn Thornton,"2,500.00",,1.00,0.00,0.00
522061,LW,Brandon McMillan,"2,500.00",,9.00,0.80,0.64
600131,LW,Nicklas Jensen,"2,500.00",,4.00,0.80,0.64
544186,LW,Gabriel Bourque,"2,500.00",,16.00,0.60,0.60
544673,LW,Colin Greening,"2,500.00",,13.00,0.60,0.60
555131,LW,Tye McGinn,"2,500.00",,12.00,0.60,0.60
355880,LW,John Scott,"2,500.00",,12.00,0.40,0.40
329839,LW,David Booth,"2,500.00",,30.00,0.20,0.24
607972,LW,Andy Andreoff,"2,500.00",,6.00,0.10,0.08
325162,RW,Ryan Callahan,"6,400.00",,28.00,4.20,5.88
392948,RW,Jakub Voracek,"6,900.00",,23.00,5.00,6.50
386808,RW,Patric Hornqvist,"7,100.00",,24.00,4.70,6.11
268143,RW,Alex Ovechkin,"9,200.00",,11.00,5.00,5.00
329565,RW,Phil Kessel,"7,200.00",,20.00,4.50,4.50
659855,RW,Filip Forsberg,"5,600.00",,13.00,4.20,4.20
607616,RW,Nikita Kucherov,"4,700.00",,28.00,3.40,4.08
172233,RW,Jiri Hudler,"5,700.00",,26.00,3.30,3.96
547715,RW,Tommy Wingels,"5,000.00",,27.00,3.30,3.96
329583,RW,Kyle Okposo,"5,900.00",,12.00,3.80,3.80
554494,RW,Tyler Toffoli,"4,500.00",,22.00,3.40,3.74
409789,RW,Wayne Simmonds,"5,000.00",,23.00,3.20,3.52
170422,RW,Shane Doan,"4,600.00",,21.00,2.90,3.19
171290,RW,Justin Williams,"5,100.00",,22.00,2.80,3.08
171352,RW,Radim Vrbata,"6,500.00",,3.00,3.80,3.04
296477,RW,Johan Franzen,"4,600.00",,4.00,3.40,2.72
298603,RW,Bobby Ryan,"4,600.00",,18.00,0.00,0.00
326228,RW,Troy Brouwer,"4,300.00",,11.00,2.70,2.70
339914,RW,Joel Ward,"4,200.00",,11.00,2.70,2.70
610628,RW,Tobias Rieder,"3,200.00",,21.00,2.30,2.53
593067,RW,Gustav Nyquist,"5,100.00",,4.00,3.10,2.48
268155,RW,Drew Stafford,"4,000.00",,16.00,2.40,2.40
653479,RW,Alex Chiasson,"3,600.00",,18.00,2.40,2.40
300810,RW,Steve Downie,"2,700.00",,24.00,2.10,2.31
171256,RW,Marian Gaborik,"4,600.00",,22.00,2.00,2.20
659860,RW,Tom Wilson,"3,100.00",,11.00,2.20,2.20
303081,RW,Alexandre Burrows,"3,800.00",,3.00,2.70,2.16
550521,RW,Jimmy Hayes,"3,500.00",,7.00,2.70,2.16
385875,RW,David Jones,"3,200.00",,26.00,1.80,2.16
556369,RW,Mark Stone,"3,100.00",,18.00,2.10,2.10
593010,RW,Matt Read,"3,600.00",,23.00,1.90,2.09
177971,RW,Brad Boyes,"4,000.00",,7.00,2.50,2.00
296815,RW,David Clarkson,"3,400.00",,20.00,2.00,2.00
169141,RW,Jaromir Jagr,"4,300.00",,1.00,2.40,1.92
177697,RW,Michael Ryder,"3,800.00",,1.00,2.40,1.92
171112,RW,Brian Gionta,"4,100.00",,16.00,1.90,1.90
230673,RW,Loui Eriksson,"4,500.00",,5.00,2.30,1.84
386556,RW,Cal Clutterbuck,"3,400.00",,12.00,1.80,1.80
229382,RW,Eric Fehr,"3,000.00",,11.00,1.80,1.80
330092,RW,Jannik Hansen,"3,900.00",,3.00,2.20,1.76
653255,RW,Reilly Smith,"3,800.00",,5.00,2.20,1.76
594632,RW,Ryan Garbutt,"3,700.00",,10.00,2.20,1.76
171386,RW,Martin Erat,"2,600.00",,21.00,1.60,1.76
329652,RW,Chris Stewart,"3,400.00",,16.00,1.70,1.70
339629,RW,Mike Brown,"2,500.00",,27.00,1.30,1.56
550770,RW,Beau Bennett,"2,500.00",,24.00,1.40,1.54
607580,RW,Tomas Jurco,"3,400.00",,4.00,1.90,1.52
229392,RW,Patrick Eaves,"3,200.00",,10.00,1.80,1.44
596465,RW,Linden Vey,"2,500.00",,3.00,1.80,1.44
831092,RW,David Pastrnak,"2,500.00",,5.00,1.80,1.44
379101,RW,Torrey Mitchell,"2,900.00",,16.00,1.40,1.40
550756,RW,Brett Connolly,"2,500.00",,28.00,1.10,1.32
653290,RW,J.T. Brown,"2,500.00",,28.00,1.10,1.32
171094,RW,Chris Neil,"2,700.00",,18.00,1.30,1.30
521854,RW,Richard Panik,"2,500.00",,20.00,1.30,1.30
172592,RW,Ales Hemsky,"3,600.00",,10.00,1.60,1.28
660042,RW,Damien Brunner,"3,300.00",,1.00,1.60,1.28
381466,RW,Derek Dorsett,"2,600.00",,3.00,1.60,1.28
229380,RW,Steve Bernier,"2,500.00",,1.00,1.50,1.20
790352,RW,Barclay Goodrow,"2,600.00",,27.00,1.00,1.20
547228,RW,Matt Fraser,"2,500.00",,5.00,1.30,1.04
184263,RW,Alexander Semin,"3,200.00",,8.00,1.20,0.96
172444,RW,Tomas Kopecky,"2,500.00",,7.00,1.20,0.96
504680,RW,Erik Condra,"2,700.00",,18.00,0.90,0.90
170627,RW,Daniel Cleary,"2,700.00",,4.00,1.00,0.80
329379,RW,Patrick Dwyer,"2,500.00",,8.00,1.00,0.80
171296,RW,Craig Adams,"2,500.00",,24.00,0.70,0.77
231132,RW,B.J. Crombeen,"2,500.00",,21.00,0.60,0.66
172451,RW,Brian McGrattan,"2,500.00",,26.00,0.40,0.48
693364,RW,Jayson Megna,"2,500.00",,24.00,0.40,0.44
172192,RW,Jordin Tootoo,"2,500.00",,1.00,0.40,0.32
326167,RW,Patrick Kaleta,"2,500.00",,16.00,0.30,0.30
