ID,Player Name,Position,Team,Salary,DK-Avg-Pts,FantasyProsProj,,,,,Name,Position,Salary,GameInfo,AvgPointsPerGame
42,Benjamin Watson,TE,NO,3000,2.386,0.5,,,,,Bernard Pierce,RB,3000,Bal@Pit 08:30PM ET,6.46
43,Benny Cunningham,RB,STL,3000,9.171,3.8,,,,,Bilal Powell,RB,3000,NYJ@KC 01:00PM ET,2.975
44,Bernard Pierce,RB,BAL,3000,6.46,0.7,,,,,Blaine Gabbert,QB,5000,StL@SF 04:05PM ET,6.02
45,Bilal Powell,RB,NYJ,3000,2.975,1.3,,,,,Blake Bortles,QB,5400,Jax@Cin 01:00PM ET,14.743
46,Billy Bajema,TE,FA,3000,2.975,0,,,,,Bobby Rainey,RB,4400,TB@Cle 01:00PM ET,11.529
47,Blaine Gabbert,QB,SF,5000,6.02,0,,,,,Brad Smith,WR,3000,Phi@Hou 01:00PM ET,0.42
48,Blake Bortles,QB,JAC,5400,14.743,13.8,,,,,Branden Oliver,RB,5700,SD@Mia 01:00PM ET,16.067
49,Bobby Rainey,RB,TB,4400,11.529,7.1,,,,,Brandin Cooks,WR,4100,NO@Car 08:25PM ET,14.571
50,Brad Smith,WR,PHI,3000,0.42,0,,,,,Brandon Bolden,RB,3000,Den@NE 04:25PM ET,0.663
51,Brady Quinn,QB,FA,3000,0.42,0,,,,,Brandon Gibson,WR,3000,SD@Mia 01:00PM ET,3.04
52,Branden Oliver,RB,SD,5700,16.067,11.4,,,,,Brandon LaFell,WR,6000,Den@NE 04:25PM ET,13.263
53,Brandin Cooks,WR,NO,4100,14.571,10.2,,,,,Brandon Lloyd,WR,3000,StL@SF 04:05PM ET,6.867
54,Brandon Barden,TE,KC,4100,14.571,0,,,,,Brandon Myers,TE,3000,TB@Cle 01:00PM ET,4.271
55,Brandon Bolden,RB,NE,3000,0.663,0.6,,,,,Brandon Tate,WR,3000,Jax@Cin 01:00PM ET,5
56,Brandon Gibson,WR,MIA,3000,3.04,0.7,,,,,Brandon Weeden,QB,5000,Ari@Dal 01:00PM ET,3.13
57,Brandon Jacobs,RB,FA,3000,3.04,0,,,,,Brandon Williams,TE,3000,NO@Car 08:25PM ET,1.133
58,Brandon LaFell,WR,NE,6000,13.263,11.3,,,,,Brent Celek,TE,3000,Phi@Hou 01:00PM ET,2.9
59,Brandon Lloyd,WR,SF,3000,6.867,2.8,,,,,Brenton Bersin,WR,3000,NO@Car 08:25PM ET,3.629
60,Brandon Myers,TE,TB,3000,4.271,1,,,,,Brett Brackett,TE,3000,Oak@Sea 04:25PM ET,0
