Pid,Pn,Name,S,Team,Or,Ppg,Projected
447451,W,Justin Abdelkader,3900,,16.00,3.1,2.82636
456627,D,Alex Pietrangelo,5000,,20.00,3.1,2.99236
741409,C,Sean Monahan,4800,,9.00,3.1,2.53586
651621,W,Alex Killorn,3700,,29.00,2.2,2.46586
659860,W,Tom Wilson,2900,,29.00,2.2,2.46586
550759,C,Mikael Granlund,3700,,29.00,2.2,2.46586
521575,G,Robin Lehner,8300,,5.00,5.1,4.36986
231130,G,Corey Crawford,8000,,1.00,5.0,4.10386
550521,W,Jimmy Hayes,5200,,20.00,3.0,2.89236
172195,W,Alexander Steen,4900,,13.00,3.0,2.60186
736539,W,Michael Raffl,3900,,20.00,3.0,2.89236
741463,W,Andre Burakovsky,3600,,22.00,2.5,2.47536
383710,D,Anton Stralman,3300,,22.00,2.5,2.47536
254822,D,Mark Giordano,7400,,4.00,4.9,4.12836
229382,W,Eric Fehr,3500,,29.00,2.1,2.36586
593940,D,Zach Redmond,3400,,26.00,2.1,2.24136
544480,D,Justin Braun,3100,,28.00,2.1,2.32436
392947,C,Sam Gagner,4000,,27.00,2.1,2.28286
329541,W,Jiri Tlusty,4500,,15.00,2.9,2.58486
184050,D,Niklas Kronwall,4700,,11.00,2.9,2.41886
450762,D,Alec Martinez,4600,,19.00,2.9,2.75086
171090,C,Brad Richards,5500,,12.00,2.9,2.46036
321868,C,David Backes,5200,,17.00,2.9,2.66786
298603,W,Bobby Ryan,5000,,6.00,2.9,2.21136
229373,D,Dion Phaneuf,4600,,9.00,2.9,2.33586
171089,C,Henrik Sedin,4000,,10.00,2.9,2.37736
555748,D,John Klingberg,3100,,24.00,2.4,2.45836
522267,W,Tomas Tatar,5200,,16.00,2.8,2.52636
303081,W,Alexandre Burrows,4400,,15.00,2.8,2.48486
504309,W,Kyle Palmieri,4000,,17.00,2.8,2.56786
170954,C,Mike Ribeiro,4800,,13.00,2.8,2.40186
604631,C,Craig Smith,4700,,13.00,2.8,2.40186
392962,C,Riley Nash,3600,,19.00,2.8,2.65086
170944,D,Brian Campbell,3700,,27.00,2.0,2.18286
253323,C,Kyle Brodziak,3000,,29.00,2.0,2.26586
326141,W,Kris Versteeg,5400,,6.00,2.8,2.11136
607591,W,Brandon Saad,5300,,6.00,2.8,2.11136
555807,W,Brendan Gallagher,4900,,8.00,2.8,2.19436
528331,C,Cody Eakin,4100,,24.00,2.3,2.35836
741408,C,Elias Lindholm,3700,,19.00,2.7,2.55086
329643,W,Michael Frolik,4800,,7.00,2.7,2.05286
302865,D,Marc-Edouard Vlasic,3200,,28.00,1.9,2.12436
171099,D,Willie Mitchell,2900,,27.00,1.9,2.08286
329424,D,Jan Hejda,2800,,26.00,1.9,2.04136
554520,D,Radko Gudas,3700,,22.00,2.2,2.17536
177971,W,Brad Boyes,4400,,20.00,2.6,2.49236
172233,W,Jiri Hudler,4300,,12.00,2.6,2.16036
594801,W,Antoine Roussel,3500,,14.00,2.6,2.24336
653479,W,Alex Chiasson,4000,,6.00,2.6,1.91136
659812,D,Morgan Rielly,4700,,9.00,2.6,2.03586
329570,C,Joe Pavelski,6200,,2.00,4.2,3.34536
741406,W,Jonathan Drouin,3400,,29.00,1.8,2.06586
329497,C,Ryan Carter,3200,,29.00,1.8,2.06586
610588,W,Johnny Gaudreau,4400,,11.00,2.5,2.01886
300789,C,Anze Kopitar,5800,,18.00,2.5,2.30936
329635,C,Trevor Lewis,3200,,18.00,2.5,2.30936
296054,W,Dustin Byfuglien,4500,,7.00,2.5,1.85286
456626,D,Zach Bogosian,4100,,8.00,2.5,1.89436
296477,W,Johan Franzen,6100,,1.00,4.0,3.10386
245514,W,Curtis Glencross,4500,,11.00,2.4,1.91886
171290,W,Justin Williams,4300,,16.00,2.4,2.12636
659876,W,Tanner Pearson,3000,,18.00,2.4,2.20936
172464,C,Vernon Fiddler,3000,,24.00,2.0,2.05836
184264,W,P.A. Parenteau,4000,,8.00,2.4,1.79436
556369,W,Mark Stone,3500,,6.00,2.4,1.71136
659853,D,Jacob Trouba,3600,,8.00,2.4,1.79436
504258,C,Nazem Kadri,4200,,6.00,2.4,1.71136
656683,C,Leo Komarov,3100,,6.00,2.4,1.71136
229392,W,Patrick Eaves,2900,,27.00,1.7,1.88286
600120,D,Connor Murphy,3000,,29.00,1.7,1.96586
495950,C,Joe Vitale,2800,,27.00,1.7,1.88286
600129,C,Vladislav Namestnikov,2500,,26.00,1.7,1.84136
392950,C,Logan Couture,5400,,2.00,3.9,3.04536
596832,W,Jakob Silfverberg,4100,,17.00,2.3,2.06786
172491,D,Brooks Orpik,3800,,15.00,2.3,1.98486
170908,G,Evgeni Nabokov,6200,,9.00,2.3,1.73586
326129,D,Roman Polak,3400,,9.00,2.3,1.73586
