Pid,Pn,Name,S,Team,Or,Ppg,Projected
229391,RW,Corey Perry,"7,500.00",,22.00,4.60,5.06
300782,G,Carey Price,"9,200.00",,19.00,4.90,4.9
456624,C,Steven Stamkos,"8,800.00",,13.00,4.90,4.9
300802,G,Tuukka Rask,"9,400.00",,14.00,4.80,4.8
545448,G,Sergei Bobrovsky,"6,800.00",,27.00,3.90,4.68
172738,C,Tomas Plekanec,"6,100.00",,26.00,3.60,4.32
556379,G,Frederik Andersen,"8,100.00",,13.00,4.30,4.3
325162,RW,Ryan Callahan,"6,200.00",,11.00,4.20,4.2
550751,LW,Taylor Hall,"6,900.00",,25.00,3.80,4.18
325006,D,Keith Yandle,"5,800.00",,24.00,3.80,4.18
392964,LW,Max Pacioretty,"8,000.00",,17.00,4.00,4
229383,C,Ryan Getzlaf,"6,600.00",,11.00,4.00,4
172212,LW,Rick Nash,"8,400.00",,9.00,4.90,3.92
446721,G,Ben Bishop,"7,700.00",,10.00,4.90,3.92
554496,G,Calvin Pickard,"7,200.00",,6.00,4.90,3.92
329662,LW,Nick Foligno,"5,100.00",,19.00,3.90,3.9
550769,C,Nick Bjugstad,"5,900.00",,30.00,3.20,3.84
268148,G,Al Montoya,"6,400.00",,30.00,3.10,3.72
590939,C,Tyler Johnson,"5,100.00",,13.00,3.70,3.7
184061,G,Henrik Lundqvist,"8,900.00",,1.00,4.60,3.68
456834,RW,Jordan Eberle,"5,200.00",,26.00,3.00,3.6
172862,G,Mike Smith,"6,500.00",,28.00,3.00,3.6
600076,LW,Gabriel Landeskog,"7,200.00",,18.00,3.50,3.5
741404,C,Nathan MacKinnon,"7,700.00",,14.00,3.50,3.5
555807,RW,Brendan Gallagher,"4,800.00",,29.00,2.90,3.48
607616,RW,Nikita Kucherov,"4,500.00",,11.00,3.40,3.4
171258,LW,Scott Hartnell,"5,200.00",,19.00,3.40,3.4
329560,D,Erik Johnson,"5,000.00",,16.00,3.40,3.4
504249,C,Matt Duchene,"6,000.00",,14.00,3.40,3.4
