Pid,Pn,Name,S,Team,Or,Ppg,Projected
229391,RW,Corey Perry,"8,300.00",,27.00,4.50,6.30
392942,RW,Patrick Kane,"8,000.00",,14.00,4.00,4.00
392948,RW,Jakub Voracek,"7,500.00",,17.00,5.00,5.00
550766,RW,Vladimir Tarasenko,"7,200.00",,9.00,4.90,3.92
170695,RW,Marian Hossa,"6,700.00",,14.00,3.30,3.30
268147,RW,Blake Wheeler,"5,900.00",,26.00,3.50,4.20
176123,RW,Jason Pominville,"5,700.00",,16.00,3.40,3.40
296054,RW,Dustin Byfuglien,"5,200.00",,26.00,2.60,3.12
456834,RW,Jordan Eberle,"5,200.00",,2.00,3.00,2.40
409789,RW,Wayne Simmonds,"5,000.00",,17.00,3.20,3.20
555807,RW,Brendan Gallagher,"4,800.00",,6.00,2.80,2.24
550755,RW,Nino Niederreiter,"4,700.00",,16.00,3.10,3.10
329643,RW,Michael Frolik,"4,200.00",,26.00,2.60,3.12
554489,RW,Devante Smith-Pelly,"4,200.00",,27.00,2.30,2.76
184264,RW,P.A. Parenteau,"4,000.00",,6.00,2.40,1.92
596832,RW,Jakob Silfverberg,"3,900.00",,27.00,2.50,3.00
504309,RW,Kyle Palmieri,"3,600.00",,27.00,2.40,2.88
593010,RW,Matt Read,"3,600.00",,17.00,1.90,1.90
659808,RW,Nail Yakupov,"3,500.00",,2.00,1.90,1.52
382185,RW,Teddy Purcell,"3,100.00",,2.00,1.70,1.36
477659,RW,Dale Weise,"2,800.00",,6.00,1.80,1.44
386160,RW,Ryan Reaves,"2,600.00",,9.00,0.90,0.72
172412,RW,Tim Jackman,"2,500.00",,27.00,0.80,0.96
232292,RW,Chris Thorburn,"2,500.00",,26.00,0.50,0.60
379020,RW,Steven Pinizzotto,"2,500.00",,2.00,1.40,1.12
456690,RW,Matt Halischuk,"2,500.00",,26.00,0.50,0.60
494189,RW,Anthony Peluso,"2,500.00",,26.00,0.20,0.24
544288,RW,Ben Smith,"2,500.00",,14.00,1.40,1.40
554475,RW,Tyler Pitlick,"2,500.00",,2.00,0.50,0.40
595203,RW,Justin Fontaine,"2,500.00",,16.00,1.40,1.40
229381,LW,Zach Parise,"8,900.00",,19.00,4.50,4.50
392964,LW,Max Pacioretty,"7,300.00",,14.00,4.10,4.10
550751,LW,Taylor Hall,"7,000.00",,20.00,3.80,3.80
504252,LW,Evander Kane,"6,500.00",,28.00,3.30,3.96
172195,LW,Alexander Steen,"6,300.00",,6.00,3.10,2.48
268146,LW,Andrew Ladd,"5,400.00",,28.00,3.30,3.96
326141,LW,Kris Versteeg,"5,300.00",,15.00,3.20,3.20
550764,LW,Jaden Schwartz,"5,200.00",,6.00,3.80,3.04
450848,LW,Matt Beleskey,"4,700.00",,12.00,3.10,3.10
607591,LW,Brandon Saad,"4,600.00",,15.00,2.70,2.70
229370,LW,Thomas Vanek,"4,400.00",,19.00,2.20,2.20
392970,LW,David Perron,"4,300.00",,20.00,2.30,2.30
554508,LW,Jason Zucker,"4,000.00",,19.00,2.70,2.70
417017,LW,Patrick Maroon,"3,600.00",,12.00,1.90,1.90
736539,LW,Michael Raffl,"3,500.00",,8.00,2.70,2.16
301772,LW,Bryan Bickell,"2,900.00",,15.00,1.60,1.60
607959,LW,Adam Lowry,"2,900.00",,28.00,1.20,1.44
831151,LW,Jiri Sekac,"2,800.00",,14.00,1.80,1.80
296021,LW,Dan Carcillo,"2,700.00",,15.00,1.50,1.50
296907,LW,Brandon Prust,"2,700.00",,14.00,1.30,1.30
263094,LW,Rene Bourque,"2,600.00",,12.00,1.20,1.20
409629,LW,Eric Tangradi,"2,600.00",,14.00,1.00,1.00
395427,LW,Matt Hendricks,"2,500.00",,20.00,1.60,1.60
402054,LW,Chris Porter,"2,500.00",,6.00,0.30,0.24
452001,LW,T.J. Galiardi,"2,500.00",,28.00,0.60,0.72
495948,LW,Luke Gazdic,"2,500.00",,20.00,1.00,1.00
504261,LW,Magnus Paajarvi,"2,500.00",,6.00,0.50,0.40
512065,LW,Zac Rinaldo,"2,500.00",,8.00,0.70,0.56
547716,LW,Jeremy Morin,"2,500.00",,15.00,0.80,0.80
829696,LW,Pierre-Edouard Bellemare,"2,500.00",,8.00,1.30,1.04
300782,G,Carey Price,"9,300.00",,19.00,5.00,5.00
231130,G,Corey Crawford,"8,800.00",,11.00,5.10,5.10
483706,G,Jake Allen,"8,500.00",,23.00,5.30,6.89
543477,G,Michael Hutchinson,"8,100.00",,27.00,5.00,0.00
556379,G,Frederik Andersen,"8,000.00",,25.00,4.50,5.85
736974,G,Antti Raanta,"8,000.00",,11.00,5.30,5.30
382350,G,Steve Mason,"7,700.00",,13.00,0.00,0.00
547403,G,Darcy Kuemper,"7,200.00",,6.00,0.00,0.00
326034,G,Niklas Backstrom,"7,100.00",,6.00,0.00,0.00
339607,G,Ondrej Pavelec,"6,900.00",,27.00,3.90,4.68
178023,G,Ray Emery,"6,600.00",,13.00,3.30,3.30
544763,G,Ben Scrivens,"6,600.00",,30.00,2.60,3.12
656273,G,Viktor Fasth,"6,500.00",,30.00,0.00,0.00
489286,G,Dustin Tokarski,"6,400.00",,19.00,3.90,3.90
571307,G,Igor Bobkov,"6,300.00",,25.00,0.00,0.00
607980,G,Jordan Binnington,"6,300.00",,23.00,0.00,0.00
456627,D,Alex Pietrangelo,"7,000.00",,5.00,3.80,3.04
478197,D,P.K. Subban,"6,600.00",,4.00,3.30,2.64
184268,D,Duncan Keith,"5,400.00",,2.00,3.40,2.72
229378,D,Brent Seabrook,"5,100.00",,2.00,3.40,2.72
229371,D,Ryan Suter,"5,000.00",,17.00,3.00,3.00
392955,D,Kevin Shattenkirk,"5,000.00",,5.00,3.30,2.64
