Id,Position,Name,Salary,GameInfo,AvgPointsPerGame
90,PG,Norris Cole,4300,Mia@Bkn 07:30PM ET,18.639
91,PF,Cody Zeller,4300,Dal@Cha 07:00PM ET,18.075
92,PG,Kirk Hinrich,4200,Chi@LAC 10:30PM ET,17.75
93,PG,Devin Harris,4200,Dal@Cha 07:00PM ET,21.65
94,SG,Marco Belinelli,4200,Phi@SA 08:30PM ET,14.583
95,SF,Danilo Gallinari,4200,Den@Cle 07:00PM ET,14.25
96,SG,Randy Foye,4000,Den@Cle 07:00PM ET,18.071
97,PG,Aaron Brooks,4000,Chi@LAC 10:30PM ET,19.175
98,PF,Josh McRoberts,4000,Mia@Bkn 07:30PM ET,7.321
99,PF,Marcus Morris,4000,Pho@Bos 07:30PM ET,19.95
100,SF,K.J. McDaniels,4000,Phi@SA 08:30PM ET,17.556
101,SF,Matt Barnes,3900,Chi@LAC 10:30PM ET,12.5
102,SF,Evan Turner,3900,Pho@Bos 07:30PM ET,17.688
103,SF,Kyle Singler,3900,Orl@Det 07:30PM ET,11.8
104,SF,Donatas Motiejunas,3900,Hou@Mem 08:00PM ET,15.25
105,SF,Michael Kidd-Gilchrist,3900,Dal@Cha 07:00PM ET,20.458
106,SF,Tony Allen,3800,Hou@Mem 08:00PM ET,20.325
107,SF,P.J. Tucker,3800,Pho@Bos 07:30PM ET,18.893
108,PF,Mirza Teletovic,3800,Mia@Bkn 07:30PM ET,20.778
109,SF,Shawn Marion,3700,Den@Cle 07:00PM ET,13.656
110,PG,Steve Blake,3700,NO@Por 10:00PM ET,15.45
111,PG,Jameer Nelson,3700,Dal@Cha 07:00PM ET,16.925
112,PF,Brandan Wright,3700,Dal@Cha 07:00PM ET,18.675
113,SG,Dion Waiters,3700,Den@Cle 07:00PM ET,16.5
114,PG,Elfrid Payton,3700,Orl@Det 07:30PM ET,20.25
115,SF,Kostas Papanikolaou,3700,Hou@Mem 08:00PM ET,17.778
116,PG,Jarrett Jack,3600,Mia@Bkn 07:30PM ET,18
117,SF,Luc Richard Mbah a Moute,3600,Phi@SA 08:30PM ET,19.188
118,C,Mason Plumlee,3600,Mia@Bkn 07:30PM ET,17.417
119,SG,Kentavious Caldwell-Pope,3600,Orl@Det 07:30PM ET,19
120,SG,Jason Terry,3500,Hou@Mem 08:00PM ET,14.944
121,SG,Gary Neal,3500,Dal@Cha 07:00PM ET,20.425
122,PG,D.J. Augustin,3500,Orl@Det 07:30PM ET,17.3
123,C,Spencer Hawes,3500,Chi@LAC 10:30PM ET,16.125
124,PG,Isaiah Canaan,3500,Hou@Mem 08:00PM ET,15.611
125,SF,Hollis Thompson,3500,Phi@SA 08:30PM ET,18.361
126,C,Meyers Leonard,3500,NO@Por 10:00PM ET,7.95
127,SF,Bojan Bogdanovic,3500,Mia@Bkn 07:30PM ET,15.639
128,C,Alex Len,3500,Pho@Bos 07:30PM ET,14.775
129,SG,Gary Harris,3500,Den@Cle 07:00PM ET,25.75
130,C,J.J. Hickson,3400,Den@Cle 07:00PM ET,24.25
131,PG,Marcus Smart,3400,Pho@Bos 07:30PM ET,15.05
132,SG,Vince Carter,3300,Hou@Mem 08:00PM ET,12.25
133,SF,Caron Butler,3300,Orl@Det 07:30PM ET,14.875
134,SF,Marvin Williams,3300,Dal@Cha 07:00PM ET,14.025
135,SG,Jodie Meeks,3300,Orl@Det 07:30PM ET,0
136,SF,Al-Farouq Aminu,3300,Dal@Cha 07:00PM ET,13.6
137,C,Kyle O'Quinn,3300,Orl@Det 07:30PM ET,21.5
138,SG,Joe Harris,3300,Den@Cle 07:00PM ET,8.292
139,C,JaVale McGee,3200,Den@Cle 07:00PM ET,11.688
140,PG,Alexey Shved,3200,Phi@SA 08:30PM ET,16.893
141,PF,Aaron Gordon,3200,Orl@Det 07:30PM ET,11.841
142,PF,Brandon Bass,3100,Pho@Bos 07:30PM ET,12.531
143,C,Kosta Koufos,3100,Hou@Mem 08:00PM ET,10.325
144,PG,Cory Joseph,3100,Phi@SA 08:30PM ET,14.528
145,C,Nazr Mohammed,3000,Chi@LAC 10:30PM ET,0
146,SF,Andrei Kirilenko,3000,Mia@Bkn 07:30PM ET,2.286
147,SF,Mike Miller,3000,Den@Cle 07:00PM ET,3.75
148,SF,Hedo Turkoglu,3000,Chi@LAC 10:30PM ET,4.95
149,SG,Jason Richardson,3000,Phi@SA 08:30PM ET,0
150,SF,Richard Jefferson,3000,Dal@Cha 07:00PM ET,8.694
151,C,Brendan Haywood,3000,Den@Cle 07:00PM ET,4.25
152,SF,Gerald Wallace,3000,Pho@Bos 07:30PM ET,2.188
153,PF,Matt Bonner,3000,Phi@SA 08:30PM ET,9.917
154,SG,James Jones,3000,Den@Cle 07:00PM ET,2.375
155,SG,Willie Green,3000,Orl@Det 07:30PM ET,5.179
156,PG,Luke Ridnour,3000,Orl@Det 07:30PM ET,13.875
157,SG,Ben Gordon,3000,Orl@Det 07:30PM ET,10.278
158,PF,Jason Maxiell,3000,Dal@Cha 07:00PM ET,5.278
159,PF,Louis Amundson,3000,Den@Cle 07:00PM ET,6
160,SF,Danny Granger,3000,Mia@Bkn 07:30PM ET,0
161,SG,Alan Anderson,3000,Mia@Bkn 07:30PM ET,9.722
162,C,Chris Andersen,3000,Mia@Bkn 07:30PM ET,8.25
163,SF,Tayshaun Prince,3000,Hou@Mem 08:00PM ET,10.708
164,SF,John Salmons,3000,NO@Por 10:00PM ET,1.688
165,PG,Jannero Pargo,3000,Dal@Cha 07:00PM ET,5.375
166,PF,Shavlik Randolph,3000,Pho@Bos 07:30PM ET,2
167,PG,Nate Robinson,3000,Den@Cle 07:00PM ET,10.844
168,PG,J.J. Barea,3000,Dal@Cha 07:00PM ET,16.694
169,SF,Francisco Garcia,3000,Hou@Mem 08:00PM ET,4.75
170,PG,Raymond Felton,3000,Dal@Cha 07:00PM ET,0
