Pid,Pn,Name,S,Team,Or,Ppg,Projected
659810,C,Alex Galchenyuk,4600,,19,2.9,2.75086
300806,C,Andrew Cogliano,3800,,24,2.0,2.05836
610878,C,Andrew Shaw,3200,,21,2.0,0
172474,C,Antoine Vermette,4300,,9,2.5,1.93586
741412,C,Bo Horvat,2500,,12,1.1,0.66036
171090,C,Brad Richards,5300,,21,2.8,2.73386
296053,C,Brad Richardson,2800,,12,1.9,1.46036
329645,C,Bryan Little,4000,,1,2.5,1.60386
321868,C,David Backes,5100,,7,2.8,2.15286
451706,C,David Desharnais,3900,,19,2.0,1.85086
551066,C,Derek Stepan,4900,,16,3.3,3.02636
329582,C,Derick Brassard,4200,,16,3.0,2.72636
184073,C,Dominic Moore,2800,,16,1.7,1.42636
171089,C,Henrik Sedin,4400,,12,3.0,2.56036
172140,C,Jim Slater,2500,,1,0.5,-0.39614
184271,C,Joakim Lindstrom,2500,,7,1.4,0.75286
554554,C,Joakim Nordstrom,2500,,21,1.3,1.23386
495950,C,Joe Vitale,2900,,9,1.6,1.03586
329563,C,Jonathan Toews,6000,,21,3.4,3.33386
498308,C,Jori Lehtera,6000,,7,3.4,2.75286
269233,C,Kyle Chipchura,2500,,9,0.8,0.23586
392954,C,Lars Eller,3900,,19,2.4,2.25086
170801,C,Manny Malhotra,2700,,19,1.0,0.85086
549269,C,Marcus Kruger,3100,,21,1.9,1.83386
600098,C,Mark Scheifele,4200,,1,2.2,1.30386
300797,C,Martin Hanzal,5100,,9,3.0,0
447273,C,Mathieu Perreault,3900,,1,1.7,0.80386
235441,C,Maxim Lapierre,2500,,7,1.1,0.45286
296046,C,Nate Thompson,2500,,24,1.5,1.55836
542226,C,Nick Bonino,5000,,12,3.4,2.96036
329659,C,Patrik Berglund,3400,,7,1.8,1.15286
330094,C,Paul Stastny,4000,,7,1.7,1.05286
600128,C,Phillip Danault,2500,,21,0.0,-0.06614
600132,C,Rickard Rakell,2500,,24,1.1,1.15836
229383,C,Ryan Getzlaf,7000,,24,4.1,4.15836
228968,C,Ryan Kesler,6200,,24,3.5,3.55836
392947,C,Sam Gagner,4200,,9,2.2,1.63586
377663,C,Shawn Matthias,2900,,12,1.5,1.06036
172443,C,Steve Ott,2500,,7,0.6,-0.04714
300805,C,T.J. Oshie,3600,,7,1.8,1.15286
172738,C,Tomas Plekanec,5400,,19,3.6,3.45086
607581,D,Adam Clendening,2700,,5,4.5,0
339481,D,Adam Pardy,2500,,3,0.8,-0.01314
456627,D,Alex Pietrangelo,5300,,9,3.2,2.63586
330091,D,Alexander Edler,5100,,7,3.5,2.85286
597144,D,Alexei Emelin,2900,,6,1.7,1.01136
171113,D,Andrei Markov,4300,,6,2.7,2.01136
171036,D,Barret Jackman,2600,,9,1.6,1.03586
229378,D,Brent Seabrook,5100,,5,3.3,2.56986
170808,D,Bryan Allen,2500,,6,1.3,0.61136
550762,D,Cam Fowler,4100,,22,2.5,2.47536
499847,D,Carl Gunnarsson,3200,,9,1.9,1.33586
448201,D,Chris Butler,3500,,9,0.0,-0.56414
329663,D,Chris Summers,2500,,17,1.0,0.76786
547709,D,Christopher Tanev,3500,,7,1.9,1.25286
301462,D,Clayton Stoner,2500,,22,1.3,1.27536
600120,D,Connor Murphy,2800,,17,1.7,1.46786
170896,D,Dan Boyle,3300,,20,1.9,1.79236
329288,D,Dan Girardi,4400,,20,2.9,2.79236
177790,D,Dan Hamhuis,3000,,7,1.8,0
504296,D,David Rundblad,2500,,5,1.0,0.26986
397070,D,David Schlemko,2700,,17,1.6,1.36786
184268,D,Duncan Keith,5400,,5,3.4,2.66986
172432,D,Francois Beauchemin,3300,,22,2.0,1.97536
610897,D,Frank Corrado,2500,,7,0.0,-0.64714
447863,D,Grant Clitsome,2500,,3,0.6,-0.21314
659813,D,Hampus Lindholm,3600,,22,2.0,1.97536
392959,D,Ian Cole,2500,,9,1.3,0.73586
659853,D,Jacob Trouba,4100,,3,2.5,1.68686
172162,D,Jay Bouwmeester,3200,,9,1.7,1.13586
504301,D,John Moore,2500,,20,1.5,1.39236
330276,D,Johnny Oduya,2800,,5,1.7,0.96986
612926,D,Josh Manson,2800,,22,1.3,1.27536
325006,D,Keith Yandle,5500,,17,4.0,3.76786
303690,D,Kevin Bieksa,3600,,7,2.1,1.45286
230677,D,Kevin Klein,3100,,20,2.3,2.19236
392955,D,Kevin Shattenkirk,5400,,9,3.4,2.83586
456831,D,Luca Sbisa,2800,,7,1.7,1.05286
300790,D,Marc Staal,3200,,20,1.9,1.79236
229385,D,Mark Stuart,3200,,3,1.9,1.08686
522063,D,Mat Clark,2500,,22,0.1,0.07536
393187,D,Matt Hunwick,3000,,20,1.8,1.69236
478687,D,Michael Stone,3600,,17,2.5,2.26786
170951,D,Michal Rozsival,2500,,5,0.8,0.06986
171424,D,Mike Weaver,3200,,6,1.7,1.01136
600115,D,Nathan Beaulieu,2700,,6,1.5,0.81136
386807,D,Niklas Hjalmarsson,3300,,5,1.9,1.16986
504257,D,Oliver Ekman-Larsson,5000,,17,3.3,3.06786
478197,D,P.K. Subban,5900,,6,3.4,2.71136
496330,D,Paul Postma,2500,,3,1.3,0.48686
541196,D,Ryan Stanton,2500,,7,1.6,0.95286
597137,D,Sami Vatanen,5200,,22,3.6,3.57536
170280,D,Sergei Gonchar,3100,,6,1.9,1.21136
170719,D,Sheldon Souray,2700,,22,0.0,-0.02464
386998,D,Tobias Enstrom,3500,,3,2.3,1.48686
184270,D,Tom Gilbert,2900,,6,1.8,1.11136
467252,D,Yannick Weber,3200,,7,1.7,1.05286
456626,D,Zach Bogosian,4100,,3,2.5,1.68686
172653,D,Zbynek Michalek,3400,,17,2.2,1.96786
736974,G,Antti Raanta,7700,,5,5.3,0
379958,G,Brian Elliott,8400,,30,5.1,5.40736
543471,G,Cam Talbot,5300,,4,3.4,0
300782,G,Carey Price,9200,,18,5.0,0
231130,G,Corey Crawford,8100,,5,5.0,4.26986
268156,G,Devan Dubnyk,7500,,16,5.3,0
489286,G,Dustin Tokarski,6400,,18,5.0,4.80936
543662,G,Eddie Lack,6200,,28,2.4,0
556379,G,Frederik Andersen,6400,,22,4.4,4.37536
184061,G,Henrik Lundqvist,8600,,4,4.5,3.72836
547717,G,Jacob Markstrom,6400,,28,0.0,0
483706,G,Jake Allen,8800,,30,5.4,0
171297,G,Jason LaBarbera,6500,,22,3.0,0
543477,G,Michael Hutchinson,7100,,15,4.5,0
172862,G,Mike Smith,6600,,16,3.0,2.72636
