ID,Position,Name,Salary,GameInfo,AvgPointsPerGame
10,C,Ryan Getzlaf,7000,LA@Anh 10:30PM ET,4.133
8,C,Patrice Bergeron,7400,Bos@Tor 08:00PM ET,3.563
78,C,Trevor Smith,2500,Bos@Tor 08:00PM ET,3.5
16,C,David Krejci,5800,Bos@Tor 08:00PM ET,3.473
17,C,Jeff Carter,5600,LA@Anh 10:30PM ET,3.447
24,C,Tyler Bozak,4800,Bos@Tor 08:00PM ET,3.447
11,C,Ryan Kesler,6700,LA@Anh 10:30PM ET,3.281
18,C,Carl Soderberg,5500,Bos@Tor 08:00PM ET,3.063
56,C,Trevor Lewis,3000,LA@Anh 10:30PM ET,2.583
51,C,Leo Komarov,3200,Bos@Tor 08:00PM ET,2.533
31,C,Nazem Kadri,4400,Bos@Tor 08:00PM ET,2.367
46,C,Seth Griffith,3500,Bos@Tor 08:00PM ET,2.333
64,C,Chris Kelly,2700,Bos@Tor 08:00PM ET,2.156
19,C,Anze Kopitar,5300,LA@Anh 10:30PM ET,2.115
44,C,Mike Santorelli,3600,Bos@Tor 08:00PM ET,2.1
42,C,Andrew Cogliano,3600,LA@Anh 10:30PM ET,1.813
50,C,Peter Holland,3200,Bos@Tor 08:00PM ET,1.767
40,C,Mike Richards,3700,LA@Anh 10:30PM ET,1.733
65,C,Nate Thompson,2700,LA@Anh 10:30PM ET,1.469
70,C,Gregory Campbell,2600,Bos@Tor 08:00PM ET,1.409
86,C,William Karlsson,2500,LA@Anh 10:30PM ET,1.336
63,C,Jarret Stoll,2700,LA@Anh 10:30PM ET,1.3
85,C,Rickard Rakell,2500,LA@Anh 10:30PM ET,0.958
82,C,Jordan Nolan,2500,LA@Anh 10:30PM ET,0.5
32,D,Sami Vatanen,4300,LA@Anh 10:30PM ET,3.313
27,D,Cody Franson,4600,Bos@Tor 08:00PM ET,3.269
20,D,Torey Krug,5300,Bos@Tor 08:00PM ET,3.167
22,D,Jake Muzzin,4900,LA@Anh 10:30PM ET,3.111
21,D,Alec Martinez,5100,LA@Anh 10:30PM ET,3.067
23,D,Dion Phaneuf,4800,Bos@Tor 08:00PM ET,3.067
28,D,Dougie Hamilton,4600,Bos@Tor 08:00PM ET,3.031
25,D,Drew Doughty,4700,LA@Anh 10:30PM ET,2.8
43,D,Roman Polak,3600,Bos@Tor 08:00PM ET,2.467
36,D,Cam Fowler,4100,LA@Anh 10:30PM ET,2.433
41,D,Morgan Rielly,3700,Bos@Tor 08:00PM ET,2.4
45,D,Dennis Seidenberg,3500,Bos@Tor 08:00PM ET,2.344
47,D,Francois Beauchemin,3400,LA@Anh 10:30PM ET,2.133
68,D,Joseph Morrow,2700,Bos@Tor 08:00PM ET,1.917
72,D,Zach Trotman,2600,Bos@Tor 08:00PM ET,1.857
54,D,Hampus Lindholm,3100,LA@Anh 10:30PM ET,1.719
48,D,Jake Gardiner,3400,Bos@Tor 08:00PM ET,1.429
62,D,Robyn Regehr,2700,LA@Anh 10:30PM ET,1.429
66,D,Adam McQuaid,2700,Bos@Tor 08:00PM ET,1.313
73,D,Stephane Robidas,2500,Bos@Tor 08:00PM ET,1.267
77,D,Matt Greene,2500,LA@Anh 10:30PM ET,1.2
71,D,Clayton Stoner,2600,LA@Anh 10:30PM ET,1.167
69,D,Bryan Allen,2600,LA@Anh 10:30PM ET,0.833
83,D,Brayden McNabb,2500,LA@Anh 10:30PM ET,0.833
81,D,Matt Bartkowski,2500,Bos@Tor 08:00PM ET,0.75
88,D,Josh Manson,2500,LA@Anh 10:30PM ET,0.75
80,D,Mat Clark,2500,LA@Anh 10:30PM ET,0.5
58,D,Sheldon Souray,2900,LA@Anh 10:30PM ET,0
