Pid,Pn,Name,S,Team,Or,Ppg,Projected,Value,Home,Last 10,vsBackup,isStarting,isStarter,Ppg - Archive,Tid,Htid,Atid,Htabbr,Atabbr,Posid,Isdisabledfromdrafting,Exceptionalmessages,,Swp,Pp,I,News
397070,D,David Schlemko,"2,800.00",Ari,12.00,1.70,1.87,0.6678571429,TRUE,,,,,1.7,4977,4977,4954,Ari,Bos,94,,,,true,1,O,2
741405,C,Aleksander Barkov,"3,300.00",Fla,28.00,1.30,1.8525,0.5613636364,TRUE,,TRUE,,,1.3,4979,4979,4955,Fla,Buf,91,,,,true,1,DTD,2
172444,RW,Tomas Kopecky,"2,500.00",Fla,29.00,1.30,1.8525,0.741,TRUE,,TRUE,,,1.3,4979,4979,4955,Fla,Buf,93,,,,true,1,O,2
171391,C,Derek MacKenzie,"2,500.00",Fla,28.00,1.30,1.8525,0.741,TRUE,,TRUE,,,1.3,4979,4979,4955,Fla,Buf,91,,,,true,1,O,2
170712,C,Matt Cullen,"2,900.00",Nsh,10.00,1.80,1.845,0.6362068966,TRUE,,TRUE,,,1.8,4980,4980,4957,Nsh,Chi,91,,,,true,1,DTD,1
301772,LW,Bryan Bickell,"2,700.00",Chi,3.00,1.60,1.84,0.6814814815,FALSE,TRUE,,,,1.6,4957,4980,4957,Nsh,Chi,92,,,,true,1,O,1
230677,D,Kevin Klein,"3,100.00",NYR,7.00,2.30,1.84,0.5935483871,FALSE,,,,,2.3,4966,4958,4966,Det,NYR,94,,,,true,1,DTD,1
600111,C,J.T. Miller,"2,500.00",NYR,7.00,2.30,1.84,0.736,FALSE,,,,,2.3,4966,4958,4966,Det,NYR,91,,,,true,1,O,1
550753,D,Erik Gudbranson,"2,600.00",Fla,16.00,1.50,1.8375,0.7067307692,TRUE,,TRUE,,,1.5,4979,4979,4955,Fla,Buf,94,,,,true,1,O,2
741411,D,Rasmus Ristolainen,"3,300.00",Buf,19.00,1.80,1.8,0.5454545455,FALSE,,,,,1.8,4955,4979,4955,Fla,Buf,94,,,,true,1,DTD,1
