Pid,Pn,Name,S,Team,Or,Ppg,Projected
392942,RW,Patrick Kane,7600,,29.00,3.70,5.18
268147,RW,Blake Wheeler,5700,,27.00,3.60,5.04
268143,RW,Alex Ovechkin,8700,,12.00,4.90,4.9
170695,RW,Marian Hossa,6000,,29.00,3.30,4.62
296477,RW,Johan Franzen,4800,,24.00,3.50,4.2
392948,RW,Jakub Voracek,7400,,6.00,5.10,4.08
386808,RW,Patric Hornqvist,7400,,10.00,4.80,3.84
593067,RW,Gustav Nyquist,5100,,24.00,3.10,3.72
547715,RW,Tommy Wingels,4300,,22.00,3.10,3.72
329565,RW,Phil Kessel,7500,,4.00,4.60,3.68
329643,RW,Michael Frolik,4500,,27.00,2.60,3.64
296054,RW,Dustin Byfuglien,4800,,27.00,2.50,3.5
170816,RW,Martin St. Louis,5400,,17.00,3.30,3.3
329583,RW,Kyle Okposo,6000,,3.00,3.90,3.12
325162,RW,Ryan Callahan,5500,,9.00,3.80,3.04
554494,RW,Tyler Toffoli,4900,,5.00,3.60,2.88
339914,RW,Joel Ward,4300,,12.00,2.80,2.8
409789,RW,Wayne Simmonds,5400,,6.00,3.40,2.72
172233,RW,Jiri Hudler,4400,,20.00,2.70,2.7
326228,RW,Troy Brouwer,4000,,12.00,2.70,2.7
550521,RW,Jimmy Hayes,3500,,14.00,2.70,2.7
176123,RW,Jason Pominville,5600,,7.00,3.30,2.64
607616,RW,Nikita Kucherov,4300,,9.00,3.30,2.64
170514,RW,Jarome Iginla,4600,,16.00,2.50,2.5
547287,RW,Mats Zuccarello,4600,,17.00,2.50,2.5
296123,RW,Lee Stempniak,3900,,17.00,2.50,2.5
550755,RW,Nino Niederreiter,4700,,7.00,3.00,2.4
177971,RW,Brad Boyes,4200,,14.00,2.40,2.4
171290,RW,Justin Williams,5100,,5.00,2.80,2.24
544288,RW,Ben Smith,2800,,29.00,1.50,2.1
607580,RW,Tomas Jurco,3500,,24.00,1.70,2.04
268155,RW,Drew Stafford,4400,,1.00,2.50,2
229382,RW,Eric Fehr,3200,,12.00,2.00,2
172191,RW,Scottie Upshall,3200,,14.00,1.90,1.9
659860,RW,Tom Wilson,2500,,12.00,1.90,1.9
300810,RW,Steve Downie,3400,,10.00,2.20,1.76
550774,RW,Kevin Hayes,3000,,17.00,1.70,1.7
296815,RW,David Clarkson,3500,,4.00,2.00,1.6
593010,RW,Matt Read,3700,,6.00,1.90,1.52
171256,RW,Marian Gaborik,4200,,5.00,1.80,1.44
171112,RW,Brian Gionta,3800,,1.00,1.80,1.44
