Pid,Pn,Name,S,Team,Or,Ppg,Projected
329656,C,Claude Giroux,8400,,24,5.5,5.55836
296786,C,Sidney Crosby,8800,,11,4.9,4.41886
504244,C,John Tavares,7500,,27,4.0,4.18286
550780,C,Brock Nelson,5600,,27,4.0,4.18286
268144,C,Evgeni Malkin,8200,,11,4.4,3.91886
326033,C,Frans Nielsen,5100,,27,3.5,3.68286
172441,C,Henrik Zetterberg,5800,,17,3.6,3.36786
504255,C,Brayden Schenn,5400,,24,3.3,3.35836
600079,C,Ryan Strome,4800,,27,2.9,3.08286
230685,C,Patrice Bergeron,7000,,12,3.5,3.06036
550769,C,Nick Bjugstad,6800,,3,3.4,2.58686
729821,C,Anders Lee,4000,,27,2.3,2.48286
392952,C,Brandon Sutter,4100,,11,2.9,2.41886
329417,C,Mikhail Grabovski,3700,,27,2.2,2.38286
326131,C,Carl Soderberg,4300,,12,2.8,2.36036
170811,C,Vincent Lecavalier,3500,,24,2.1,2.15836
600101,C,Sean Couturier,3400,,24,2.1,2.15836
392944,C,Kyle Turris,4900,,7,2.7,2.05286
184091,C,Jussi Jokinen,4600,,3,2.6,1.78686
607956,C,Vincent Trocheck,4100,,3,2.6,1.78686
550778,C,Charlie Coyle,4200,,5,2.5,1.76986
550771,C,Riley Sheahan,4000,,17,2.0,1.76786
177011,C,Mikko Koivu,4000,,5,2.3,1.56986
681456,C,Seth Griffith,2900,,12,2.0,1.56036
339752,C,Darren Helm,3100,,17,1.7,1.46786
521884,C,Casey Cizikas,2500,,27,1.2,1.38286
550759,C,Mikael Granlund,3900,,5,2.1,1.36986
178003,C,R.J. Umberger,2700,,24,1.3,1.35836
656728,C,Luke Glendening,2700,,17,1.5,1.26786
659866,C,Scott Laughton,2500,,24,1.2,1.25836
472380,C,Nick Spaling,3200,,11,1.7,1.21886
253323,C,Kyle Brodziak,3100,,5,1.9,1.16986
607576,C,Rocco Grimaldi,2800,,3,1.8,0.98686
329497,C,Ryan Carter,2800,,5,1.7,0.96986
600082,C,Mika Zibanejad,3200,,7,1.6,0.95286
184276,C,Gregory Campbell,2500,,12,1.3,0.86036
