Pid,Pn,Name,S,Team,Or,Ppg,Projected,Home,Last 10 Days,Archive PPG,C,W,D,G
456699,C,Colin Wilson,"4,200.00",,1.00,2.30,5.47,TRUE,,2.3,TRUE,FALSE,FALSE,FALSE
544480,D,Justin Braun,"3,200.00",,8.00,2.10,5.47,TRUE,,2.1,FALSE,FALSE,TRUE,FALSE
172179,LW,Eric Nystrom,"2,700.00",,23.00,1.60,5.47,TRUE,,1.6,FALSE,TRUE,FALSE,FALSE
235932,D,Josh Gorges,"2,700.00",,10.00,2.10,5.46,FALSE,,2.1,FALSE,FALSE,TRUE,FALSE
741406,LW,Jonathan Drouin,"3,300.00",,27.00,1.60,5.46,TRUE,,1.6,FALSE,TRUE,FALSE,FALSE
659859,D,Cody Ceci,"3,100.00",,14.00,2.10,5.46,TRUE,,2.1,FALSE,FALSE,TRUE,FALSE
547709,D,Christopher Tanev,"3,800.00",,16.00,2.10,5.46,FALSE,,2.1,FALSE,FALSE,TRUE,FALSE
547799,D,David Savard,"2,800.00",,20.00,2.10,5.45,FALSE,,2.1,FALSE,FALSE,TRUE,FALSE
729821,C,Anders Lee,"3,700.00",,21.00,2.30,5.45,FALSE,,2.3,TRUE,FALSE,FALSE,FALSE
329579,D,Andrej Sekera,"3,500.00",,28.00,2.10,5.45,TRUE,,2.1,FALSE,FALSE,TRUE,FALSE
660042,RW,Damien Brunner,"3,100.00",,12.00,1.50,5.44,FALSE,,1.5,FALSE,TRUE,FALSE,FALSE
659868,D,Olli Maatta,"3,700.00",,3.00,2.00,5.44,TRUE,,2,FALSE,FALSE,TRUE,FALSE
302865,D,Marc-Edouard Vlasic,"3,300.00",,8.00,2.00,5.43,TRUE,,2,FALSE,FALSE,TRUE,FALSE
656516,D,Karl Stollery,"2,500.00",,10.00,2.00,5.43,FALSE,,2,FALSE,FALSE,TRUE,FALSE
324924,LW,Drew Miller,"2,700.00",,30.00,1.50,5.42,TRUE,,1.5,FALSE,TRUE,FALSE,FALSE
547077,D,Eric Gelinas,"3,600.00",,23.00,2.00,5.42,FALSE,,2,FALSE,FALSE,TRUE,FALSE
392947,C,Sam Gagner,"3,700.00",,17.00,2.20,5.41,TRUE,,2.2,TRUE,FALSE,FALSE,FALSE
170944,D,Brian Campbell,"3,300.00",,24.00,2.00,5.41,TRUE,,2,FALSE,FALSE,TRUE,FALSE
456826,LW,Zach Boychuk,"2,500.00",,4.00,1.40,5.41,TRUE,,1.4,FALSE,TRUE,FALSE,FALSE
607590,C,Victor Rask,"3,100.00",,22.00,2.20,5.41,TRUE,,2.2,TRUE,FALSE,FALSE,FALSE
300789,C,Anze Kopitar,"4,700.00",,25.00,2.20,5.41,FALSE,,2.2,TRUE,FALSE,FALSE,FALSE
329635,C,Trevor Lewis,"2,800.00",,25.00,2.20,5.41,FALSE,,2.2,TRUE,FALSE,FALSE,FALSE
229380,RW,Steve Bernier,"2,500.00",,12.00,1.40,5.40,FALSE,,1.4,FALSE,TRUE,FALSE,FALSE
