Pid,Pn,Name,S,Team,Or,Ppg,Projected
229367,G,Marc-Andre Fleury,9400,,27.00,6.10,9.76
176834,G,Craig Anderson,8300,,26.00,5.80,9.28
483706,G,Jake Allen,7900,,30.00,5.30,8.48
172497,G,Ryan Miller,7700,,28.00,5.00,8
550766,RW,Vladimir Tarasenko,7800,,27.00,4.80,7.68
300802,G,Tuukka Rask,8400,,29.00,4.50,7.2
229381,LW,Zach Parise,6700,,28.00,4.30,6.88
568698,D,Jared Spurgeon,5000,,29.00,4.20,6.72
550764,LW,Jaden Schwartz,6900,,30.00,4.10,6.56
329662,LW,Nick Foligno,5400,,26.00,4.10,6.56
296786,C,Sidney Crosby,9600,,21.00,5.10,6.12
300782,G,Carey Price,9600,,25.00,5.00,6
296723,G,Jaroslav Halak,9200,,17.00,5.80,5.8
184061,G,Henrik Lundqvist,9000,,23.00,4.80,5.76
556379,G,Frederik Andersen,6900,,24.00,4.70,5.64
392964,LW,Max Pacioretty,7200,,27.00,4.00,5.6
171352,RW,Radim Vrbata,5700,,30.00,3.90,5.46
329656,C,Claude Giroux,8600,,19.00,5.40,5.4
268144,C,Evgeni Malkin,9000,,21.00,4.50,5.4
736974,G,Antti Raanta,8200,,13.00,5.30,5.3
172738,C,Tomas Plekanec,6300,,28.00,3.70,5.18
171258,LW,Scott Hartnell,5400,,26.00,3.70,5.18
392948,RW,Jakub Voracek,7700,,11.00,5.10,5.1
551066,C,Derek Stepan,5300,,29.00,3.60,5.04
456827,D,Erik Karlsson,7000,,23.00,4.20,5.04
456627,D,Alex Pietrangelo,6400,,26.00,3.60,5.04
339745,D,Kris Letang,6200,,22.00,4.20,5.04
382350,G,Steve Mason,8600,,12.00,4.90,4.9
231130,G,Corey Crawford,7900,,13.00,4.90,4.9
268143,RW,Alex Ovechkin,8700,,13.00,4.90,4.9
386808,RW,Patric Hornqvist,7700,,12.00,4.90,4.9
172212,LW,Rick Nash,8000,,11.00,4.80,4.8
542226,C,Nick Bonino,4700,,30.00,3.40,4.76
392955,D,Kevin Shattenkirk,5200,,26.00,3.30,4.62
298149,G,Jimmy Howard,8100,,15.00,4.60,4.6
172139,G,Kari Lehtonen,6700,,18.00,4.50,4.5
550752,C,Tyler Seguin,8500,,3.00,5.60,4.48
172195,LW,Alexander Steen,5900,,30.00,3.20,4.48
268147,RW,Blake Wheeler,5700,,22.00,3.70,4.44
229391,RW,Corey Perry,8300,,17.00,4.40,4.4
172221,D,Johnny Boychuk,4600,,24.00,3.50,4.2
458860,LW,Jamie Benn,8200,,14.00,4.20,4.2
171088,LW,Daniel Sedin,6100,,25.00,3.50,4.2
296477,RW,Johan Franzen,5000,,23.00,3.50,4.2
329582,C,Derick Brassard,4300,,29.00,3.00,4.2
229371,D,Ryan Suter,4800,,29.00,3.00,4.2
550754,C,Ryan Johansen,7300,,15.00,4.10,4.1
329564,C,Nicklas Backstrom,5400,,22.00,3.40,4.08
330091,D,Alexander Edler,5000,,25.00,3.30,3.96
176123,RW,Jason Pominville,5600,,21.00,3.30,3.96
170816,RW,Martin St. Louis,5400,,24.00,3.30,3.96
659810,C,Alex Galchenyuk,4500,,28.00,2.80,3.92
171089,C,Henrik Sedin,4300,,30.00,2.80,3.92
