ID,Pos,Name,Sal,Team,OR,FPPG,Projected
298603,D,Bobby Sanguinetti,"2,500",VAN,2.00,0,0
610897,D,Frank Corrado,"3,000",VAN,25.00,0,0
170801,D,Marc Methot,"3,500",OTT,28.00,0,0
456855,D,Stu Bickel,"2,500",MIN,29.00,0,0
615332,D,Jyrki Jokipakka,"2,500",DAL,3.00,-0.08,-0.064
172497,D,Ryan Murray,"2,500",CBJ,28.00,-0.13,-0.182
323580,D,Peter Harrold,"3,150",NJ,6.00,-0.5,-0.4
176834,G,Craig Anderson,"7,550",OTT,26.00,7.48,11.968
229367,G,Marc-Andre Fleury,"7,900",PIT,27.00,7.37,11.792
521575,G,Robin Lehner,"7,200",OTT,26.00,0,0
326139,G,Thomas Greiss,"6,750",PIT,27.00,0,0
172497,G,Ryan Miller,"7,900",VAN,28.00,6.16,9.856
483706,G,Jake Allen,"7,350",STL,30.00,6,9.6
379958,G,Brian Elliott,"7,700",STL,30.00,0,0
300802,G,Tuukka Rask,"7,800",BOS,29.00,5.47,8.752
656680,G,Niklas Svedberg,"6,750",BOS,29.00,0,0
300782,G,Carey Price,"7,950",MTL,25.00,7,8.4
555795,G,Petr Mrazek,"6,500",DET,15.00,0,0
543477,G,Michael Hutchinson,"6,750",WPG,14.00,0,0
172139,G,Kari Lehtonen,"7,350",DAL,18.00,6.04,6.04
170836,G,Roberto Luongo,"7,700",FLA,11.00,0,0
298149,G,Jimmy Howard,"7,500",DET,15.00,6.03,6.03
268148,G,Al Montoya,"6,650",FLA,11.00,5.75,5.75
489286,G,Dustin Tokarski,"6,250",MTL,25.00,0,0
339607,G,Ondrej Pavelec,"7,300",WPG,14.00,5.57,5.57
543662,G,Eddie Lack,"6,500",VAN,28.00,0,0
330276,G,Jonas Gustavsson,"7,100",DET,20.00,0,0
269241,G,Cory Schneider,"7,050",NJ,9.00,5.68,4.544
545448,G,Sergei Bobrovsky,"7,700",CBJ,6.00,5.56,4.448
454231,G,Jhonas Enroth,"6,750",BUF,4.00,5.5,4.4
172223,G,Cam Ward,"7,000",CAR,2.00,5.31,4.248
386814,G,Michal Neuvirth,"6,500",BUF,4.00,0,0
326034,G,Niklas Backstrom,"6,850",MIN,10.00,0,0
547403,G,Darcy Kuemper,"7,450",MIN,10.00,0,0
544763,G,Ben Scrivens,"6,500",EDM,16.00,3.62,3.62
656273,G,Viktor Fasth,"6,250",EDM,16.00,0,0
395751,G,Anton Khudobin,"7,100",CAR,2.00,0,0
296906,G,Curtis McElhinney,"6,000",CBJ,6.00,0,0
547322,G,Anders Lindback,"6,050",DAL,18.00,0,0
171394,G,Scott Clemmensen,"6,250",NJ,9.00,0,0
170950,G,Andrew Hammond,"5,000",OTT,2.00,0,0
547228,G,Matt Hackett,"6,000",BUF,1.00,0,0
550766,W,Vladimir Tarasenko,"5,800",STL,27.00,4.12,6.592
550764,W,Jaden Schwartz,"5,300",STL,30.00,3.55,4.97
329662,W,Nick Foligno,"4,700",CBJ,26.00,3.55,4.97
229381,W,Zach Parise,"5,800",MIN,28.00,3.4,4.76
392964,W,Max Pacioretty,"5,300",MTL,27.00,3.27,4.578
171352,W,Radim Vrbata,"5,300",VAN,30.00,3.23,4.522
550759,W,Mike Cammalleri,"4,850",NJ,27.00,2.89,4.046
386808,W,Patric Hornqvist,"5,900",PIT,12.00,3.87,3.87
171088,W,Daniel Sedin,"5,250",VAN,25.00,2.93,3.516
171258,W,Scott Hartnell,"4,700",CBJ,26.00,2.45,3.43
458860,W,Jamie Benn,"5,950",DAL,14.00,3.42,3.42
268147,W,Blake Wheeler,"5,200",WPG,22.00,2.83,3.396
522269,W,Matt Cooke,"3,750",MIN,26.00,2.41,3.374
296477,W,Johan Franzen,"5,050",DET,23.00,2.8,3.36
172195,W,Alexander Steen,"4,850",STL,30.00,2.32,3.248
303081,W,Alexandre Burrows,"4,050",VAN,30.00,2.29,3.206
296050,W,Clarke MacArthur,"4,600",OTT,23.00,2.66,3.192
593067,W,Gustav Nyquist,"5,400",DET,23.00,2.6,3.12
228978,W,Chris Kunitz,"5,850",PIT,17.00,3.05,3.05
659810,W,Alex Galchenyuk,"4,100",MTL,28.00,2.17,3.038
522606,W,Mike Hoffman,"3,850",OTT,23.00,2.51,3.012
172441,W,Henrik Zetterberg,"5,450",DET,13.00,2.98,2.98
555807,W,Brendan Gallagher,"4,300",MTL,28.00,2.11,2.954
554508,W,Jason Zucker,"3,750",MIN,28.00,2.09,2.926
478197,W,Pascal Dupuis,"4,850",PIT,19.00,2.91,2.91
550755,W,Nino Niederreiter,"4,250",MIN,21.00,2.41,2.892
172864,W,Christopher Higgins,"4,150",VAN,22.00,2.32,2.784
176123,W,Jason Pominville,"5,000",MIN,21.00,2.13,2.556
550778,W,Charlie Coyle,"3,850",MIN,27.00,1.75,2.45
303078,W,Blake Comeau,"3,850",PIT,17.00,2.35,2.35
593311,W,Cam Atkinson,"4,400",CBJ,18.00,2.35,2.35
184264,W,P.A. Parenteau,"4,400",MTL,28.00,1.67,2.338
330092,W,Jannik Hansen,"3,750",VAN,30.00,1.66,2.324
456834,W,Jordan Eberle,"4,650",EDM,16.00,2.29,2.29
329643,W,Michael Frolik,"4,100",WPG,22.00,1.88,2.256
550751,W,Taylor Hall,"5,150",EDM,10.00,2.82,2.256
229370,W,Thomas Vanek,"4,450",MIN,28.00,1.59,2.226
550757,W,Jeff Skinner,"4,750",CAR,6.00,2.77,2.216
477659,W,Dale Weise,"3,800",MTL,28.00,1.55,2.17
414433,W,Brad Marchand,"4,550",BOS,18.00,2.14,2.14
184091,W,Jussi Jokinen,"4,150",FLA,17.00,2.09,2.09
268146,W,Andrew Ladd,"4,650",WPG,7.00,2.52,2.016
329497,W,Ryan Carter,"3,500",MIN,27.00,1.44,2.016
550521,W,Jimmy Hayes,"3,600",FLA,9.00,2.46,1.968
296054,W,Dustin Byfuglien,"4,500",WPG,22.00,1.63,1.956
600077,W,Jonathan Huberdeau,"3,900",FLA,16.00,1.92,1.92
447451,W,Justin Abdelkader,"3,800",DET,9.00,2.4,1.92
298603,W,Bobby Ryan,"4,900",OTT,2.00,2.36,1.888
831151,W,Jiri Sekac,"3,600",MTL,27.00,1.33,1.862
504252,W,Evander Kane,"4,900",WPG,7.00,2.3,1.84
522267,W,Tomas Tatar,"3,800",DET,9.00,2.3,1.84
381466,W,Derek Dorsett,"3,500",VAN,30.00,1.29,1.806
596465,W,Linden Vey,"3,650",VAN,30.00,1.29,1.806
607580,W,Tomas Jurco,"3,400",DET,23.00,1.5,1.8
300810,W,Steve Downie,"3,800",PIT,12.00,1.76,1.76
228966,W,Milan Michalek,"3,950",OTT,23.00,1.46,1.752
594801,W,Antoine Roussel,"3,650",DAL,14.00,1.74,1.74
398616,W,Milan Lucic,"4,650",BOS,18.00,1.74,1.74
653479,W,Alex Chiasson,"4,100",OTT,2.00,2.12,1.696
268155,W,Drew Stafford,"4,200",BUF,19.00,1.68,1.68
595203,W,Justin Fontaine,"4,150",MIN,21.00,1.35,1.62
335301,W,Matt Moulson,"3,900",BUF,15.00,1.58,1.58
339752,W,Darren Helm,"3,800",DET,13.00,1.56,1.56
172231,W,Sean Bergenheim,"4,000",FLA,16.00,1.53,1.53
230673,W,Loui Eriksson,"4,150",BOS,1.00,1.9,1.52
472380,W,Nick Spaling,"3,800",PIT,21.00,1.26,1.512
451466,W,Nathan Gerbe,"3,600",CAR,6.00,1.87,1.496
177971,W,Brad Boyes,"4,450",FLA,9.00,1.86,1.488
169141,W,Jaromir Jagr,"4,950",NJ,8.00,1.84,1.472
