Pid,Pn,Name,S,Team,Or,Ppg,Ppg-Last 10,Projected,Projected-Last 10,Difference,Value,Streak,Back2Back,Home,Last 10,vsBackup,isStarting,isStarter,goalieBack2Back,Ppg-Archive,Tid,Htid,Atid,Htabbr,Atabbr,Posid,Isdisabledfromdrafting,Exceptionalmessages,Swp,Pp,I,News
178005,D,Tim Gleason,"2,500.00",Car,6.00,1.50,1.50,1.5375,1.0875,-0.45,0.615,-1,TRUE,TRUE,,TRUE,,,,1.5,4960,4960,4958,Car,Det,94,,,true,,DL,2
496330,D,Paul Postma,"2,500.00",Wpg,18.00,1.20,1.20,1.32,1.08,-0.24,0.528,2,,TRUE,,,,,,1.2,4981,4981,4978,Wpg,Anh,94,,,true,,O,2
171094,RW,Chris Neil,"2,700.00",Ott,12.00,1.20,1.20,1.32,1.08,-0.24,0.4888888889,-5,,TRUE,,,,,,1.2,4967,4967,4975,Ott,Van,93,,,true,,DL,1
236168,D,Marc Methot,"2,800.00",Ott,3.00,1.50,1.50,1.35,1.05,-0.3,0.4821428571,-5,,TRUE,,,,,,1.5,4967,4967,4975,Ott,Van,94,,,true,,DTD,2
170839,C,David Legwand,"3,400.00",Ott,9.00,1.50,1.50,1.35,1.05,-0.3,0.3970588235,-5,,TRUE,,,,,,1.5,4967,4967,4975,Ott,Van,91,,,true,,DTD,1
324924,LW,Drew Miller,"2,700.00",Det,18.00,1.50,1.50,1.5,1.05,-0.45,0.5555555556,2,TRUE,FALSE,,,,,,1.5,4958,4960,4958,Car,Det,92,,,true,,DL,1
301462,D,Clayton Stoner,"2,500.00",Anh,9.00,1.30,1.30,1.04,1.04,0,0.416,3,,FALSE,,,,,,1.3,4978,4981,4978,Wpg,Anh,94,,,true,,DL,1
171342,D,Ron Hainsey,"2,500.00",Car,6.00,1.40,1.40,1.435,1.015,-0.42,0.574,-1,TRUE,TRUE,,TRUE,,,,1.4,4960,4960,4958,Car,Det,94,,,true,,DL,2
554493,D,Martin Marincin,"2,500.00",Edm,25.00,0.90,0.90,1.1925,1.0125,-0.18,0.477,-11,,TRUE,,TRUE,,,,0.9,4959,4959,4971,Edm,SJ,94,,,true,,O,1
326026,D,Jonathan Ericsson,"2,500.00",Det,20.00,1.40,1.40,1.4,0.98,-0.42,0.56,2,TRUE,FALSE,,,,,,1.4,4958,4960,4958,Car,Det,94,,,true,,DL,1
170561,D,Chris Phillips,"2,500.00",Ott,3.00,1.40,1.40,1.26,0.98,-0.28,0.504,-5,,TRUE,,,,,,1.4,4967,4967,4975,Ott,Van,94,,,true,,DL,2
504260,D,Jared Cowen,"2,500.00",Ott,3.00,1.40,1.40,1.26,0.98,-0.28,0.504,-5,,TRUE,,,,,,1.4,4967,4967,4975,Ott,Van,94,,,true,,O,2
456826,LW,Zach Boychuk,"2,800.00",Car,1.00,1.30,1.30,1.3325,0.9425,-0.39,0.4758928571,-1,TRUE,TRUE,,TRUE,,,,1.3,4960,4960,4958,Car,Det,92,,,true,,DTD,2
