Pid,Pn,Name,S,Team,Or,Ppg,Ppg-Last 10,Projected,Projected-Last 10,Difference,Value,Streak,Back2Back,Home,Last 10,vsBackup,isStarting,isStarter,goalieBack2Back,Ppg-Archive,Tid,Htid,Atid,Htabbr,Atabbr,Posid,Isdisabledfromdrafting,Exceptionalmessages,Swp,Pp,I,News
550757,LW,Jeff Skinner,"5,700.00",Car,1.00,3.30,3.50,4.0425,3.2975,-0.745,0.7092105263,-1,TRUE,TRUE,TRUE,TRUE,,,,3.3,4960,4960,4958,Car,Det,92,,,true,,DTD,1
172441,C,Henrik Zetterberg,"7,200.00",Det,14.00,3.90,3.70,4.68,3.27,-1.41,0.65,2,TRUE,FALSE,TRUE,,,,,3.9,4958,4960,4958,Car,Det,91,,,true,,DTD,1
325554,LW,Tyler Kennedy,"2,700.00",SJ,28.00,2.50,2.50,3,3.25,0.25,1.111111111,4,TRUE,FALSE,,,,,,2.5,4971,4959,4971,Edm,SJ,92,,,true,,DL,2
171432,C,Stephen Weiss,"4,600.00",Det,14.00,3.60,3.60,4.32,3.24,-1.08,0.9391304348,2,TRUE,FALSE,TRUE,,,,,3.6,4958,4960,4958,Car,Det,91,,,true,,DTD,2
550771,C,Riley Sheahan,"3,800.00",Det,14.00,2.20,3.20,2.64,3.18,0.54,0.6947368421,2,TRUE,FALSE,TRUE,,,,,2.2,4958,4960,4958,Car,Det,91,,,true,,O,2
296054,RW,Dustin Byfuglien,"5,800.00",Wpg,20.00,2.90,3.40,3.19,3.16,-0.03,0.55,2,,TRUE,,,,,,2.9,4981,4981,4978,Wpg,Anh,93,,,true,,DTD,2
172497,G,Ryan Miller,"9,200.00",Van,16.00,5.10,4.70,6.12,3.09,-3.03,0.6652173913,-1,TRUE,FALSE,,,TRUE,TRUE,TRUE,5.1,4975,4967,4975,Ott,Van,95,,,true,,,2
268147,RW,Blake Wheeler,"6,000.00",Wpg,20.00,3.60,3.40,3.96,3.02,-0.94,0.66,2,,TRUE,,,,,,3.6,4981,4981,4978,Wpg,Anh,93,,,true,,DTD,2
456834,RW,Jordan Eberle,"5,300.00",Edm,22.00,2.90,2.70,3.8425,2.9975,-0.845,0.725,-11,,TRUE,,TRUE,,,,2.9,4959,4959,4971,Edm,SJ,93,,,true,,DTD,1
600075,C,Ryan Nugent-Hopkins,"5,100.00",Edm,21.00,3.10,2.70,4.1075,2.9575,-1.15,0.8053921569,-11,,TRUE,,TRUE,,,,3.1,4959,4959,4971,Edm,SJ,91,,,true,,DTD,2
