Id,Position,Name,Salary,GameInfo,AvgPointsPerGame
16,W,Blake Wheeler,7400,Wpg@Min 05:00PM ET,3.883
41,W,Patrick Marleau,6100,SJ@Car 05:00PM ET,3.589
78,W,Tommy Wingels,4600,SJ@Car 05:00PM ET,3.368
33,W,Patrick Kane,6200,Dal@Chi 07:00PM ET,3.288
44,W,Jordan Eberle,5800,Ari@Edm 09:00PM ET,3.281
101,W,Justin Abdelkader,4100,Mon@Det 07:00PM ET,3.25
55,W,Shane Doan,5100,Ari@Edm 09:00PM ET,3.235
65,W,Gustav Nyquist,4900,Mon@Det 07:00PM ET,3.169
49,W,Andrew Ladd,5400,Wpg@Min 05:00PM ET,3.139
56,W,Jason Pominville,5100,Wpg@Min 05:00PM ET,3.138
69,W,Mikkel Boedker,4700,Ari@Edm 09:00PM ET,3.012
43,W,Jeff Skinner,5900,SJ@Car 05:00PM ET,3
114,W,Jiri Tlusty,3700,SJ@Car 05:00PM ET,2.938
68,W,Matt Beleskey,4700,Fla@Anh 08:00PM ET,2.917
70,W,Jimmy Hayes,4700,Fla@Anh 08:00PM ET,2.85
59,W,Evander Kane,5100,Wpg@Min 05:00PM ET,2.82
64,W,Nino Niederreiter,4900,Wpg@Min 05:00PM ET,2.75
71,W,Brendan Gallagher,4700,Mon@Det 07:00PM ET,2.733
61,W,Brandon Saad,5000,Dal@Chi 07:00PM ET,2.706
63,W,Marian Hossa,4900,Dal@Chi 07:00PM ET,2.706
112,W,Antoine Roussel,3800,Dal@Chi 07:00PM ET,2.706
76,W,David Perron,4600,Ari@Edm 09:00PM ET,2.529
57,W,Dustin Byfuglien,5100,Wpg@Min 05:00PM ET,2.5
96,W,Ryan Garbutt,4200,Dal@Chi 07:00PM ET,2.5
113,W,P.A. Parenteau,3700,Mon@Det 07:00PM ET,2.478
92,W,Tomas Tatar,4300,Mon@Det 07:00PM ET,2.406
107,W,Devante Smith-Pelly,3900,Fla@Anh 08:00PM ET,2.389
106,W,Michael Frolik,3900,Wpg@Min 05:00PM ET,2.361
86,W,Jakob Silfverberg,4400,Fla@Anh 08:00PM ET,2.339
73,W,Kris Versteeg,4600,Dal@Chi 07:00PM ET,2.333
119,W,Tyler Kennedy,3500,SJ@Car 05:00PM ET,2.333
84,W,Nail Yakupov,4500,Ari@Edm 09:00PM ET,2.324
170,W,Jason Zucker,2900,Wpg@Min 05:00PM ET,2.281
99,W,Thomas Vanek,4100,Wpg@Min 05:00PM ET,2.188
97,W,Scottie Upshall,4100,Fla@Anh 08:00PM ET,2.179
122,W,Brad Boyes,3400,Fla@Anh 08:00PM ET,2.179
95,W,Benoit Pouliot,4200,Ari@Edm 09:00PM ET,2.147
134,W,Nathan Gerbe,3300,SJ@Car 05:00PM ET,2.107
154,W,Dale Weise,3000,Mon@Det 07:00PM ET,2.067
151,W,Erik Cole,3000,Dal@Chi 07:00PM ET,2
152,W,Martin Erat,3000,Ari@Edm 09:00PM ET,2
258,W,Matthew Nieto,2500,SJ@Car 05:00PM ET,1.868
127,W,Jiri Sekac,3400,Mon@Det 07:00PM ET,1.833
153,W,Zach Boychuk,3000,SJ@Car 05:00PM ET,1.821
167,W,Chris Terry,2900,SJ@Car 05:00PM ET,1.813
142,W,Patrick Eaves,3200,Dal@Chi 07:00PM ET,1.8
175,W,Patrick Maroon,2800,Fla@Anh 08:00PM ET,1.773
133,W,Teddy Purcell,3300,Ari@Edm 09:00PM ET,1.765
145,W,Matt Hendricks,3100,Ari@Edm 09:00PM ET,1.765
250,W,Justin Fontaine,2500,Wpg@Min 05:00PM ET,1.75
205,W,Lauri Korpikoski,2500,Ari@Edm 09:00PM ET,1.676
121,W,Tomas Hertl,3500,SJ@Car 05:00PM ET,1.658
263,W,Iiro Pakarinen,2500,Ari@Edm 09:00PM ET,1.6
178,W,Bryan Bickell,2700,Dal@Chi 07:00PM ET,1.588
261,W,Tobias Rieder,2500,Ari@Edm 09:00PM ET,1.571
211,W,Drew Miller,2500,Mon@Det 07:00PM ET,1.5
212,W,Adam Burish,2500,SJ@Car 05:00PM ET,1.472
123,W,Alexander Semin,3400,SJ@Car 05:00PM ET,1.462
240,W,Ben Smith,2500,Dal@Chi 07:00PM ET,1.412
160,W,Emerson Etem,3000,Fla@Anh 08:00PM ET,1.389
94,W,Sean Bergenheim,4200,Fla@Anh 08:00PM ET,1.346
257,W,Tomas Jurco,2500,Mon@Det 07:00PM ET,1.308
182,W,Jonathan Huberdeau,2700,Fla@Anh 08:00PM ET,1.3
172,W,Tomas Fleischmann,2800,Fla@Anh 08:00PM ET,1.286
195,W,Tomas Kopecky,2500,Fla@Anh 08:00PM ET,1.25
222,W,Rob Klinkhammer,2500,Ari@Edm 09:00PM ET,1.25
218,W,Jesse Joensuu,2500,Ari@Edm 09:00PM ET,1.206
197,W,Ales Hemsky,2500,Dal@Chi 07:00PM ET,1.156
206,W,Dan Carcillo,2500,Dal@Chi 07:00PM ET,0.955
260,W,Adam Lowry,2500,Wpg@Min 05:00PM ET,0.944
242,W,Jeremy Morin,2500,Dal@Chi 07:00PM ET,0.933
198,W,Shawn Thornton,2500,Fla@Anh 08:00PM ET,0.923
209,W,Brandon Prust,2500,Mon@Det 07:00PM ET,0.917
194,W,Tim Jackman,2500,Fla@Anh 08:00PM ET,0.889
187,W,Daniel Cleary,2500,Mon@Det 07:00PM ET,0.833
199,W,Travis Moen,2500,Dal@Chi 07:00PM ET,0.808
236,W,Brandon McMillan,2500,Ari@Edm 09:00PM ET,0.719
267,W,Curtis McKenzie,2500,Dal@Chi 07:00PM ET,0.714
221,W,T.J. Galiardi,2500,Wpg@Min 05:00PM ET,0.706
269,W,Barclay Goodrow,2500,SJ@Car 05:00PM ET,0.688
201,W,B.J. Crombeen,2500,Ari@Edm 09:00PM ET,0.679
214,W,Patrick Dwyer,2500,SJ@Car 05:00PM ET,0.6
246,W,Tye McGinn,2500,SJ@Car 05:00PM ET,0.529
202,W,Chris Thorburn,2500,Wpg@Min 05:00PM ET,0.5
217,W,John Scott,2500,SJ@Car 05:00PM ET,0.455
223,W,Matt Halischuk,2500,Wpg@Min 05:00PM ET,0.25
225,W,Drayson Bowman,2500,Mon@Det 07:00PM ET,0
229,W,Luke Gazdic,2500,Ari@Edm 09:00PM ET,0
