Pid,Pn,Name,S,TEAM,Or,Ppg,Projected,
554493,D,Martin Marincin,2500,,29.00,1.00,1.4,
184273,D,Matt Greene,2500,,17.00,1.40,1.4,
268151,D,Ladislav Smid,2500,,18.00,1.40,1.4,
467252,D,Yannick Weber,3100,,5.00,1.70,1.36,
229387,C,Mike Richards,3200,,2.00,1.70,1.36,
568608,D,Brayden McNabb,3000,,17.00,1.30,1.3,
301462,D,Clayton Stoner,2500,,11.00,1.30,1.3,
184271,C,Joakim Lindstrom,2700,,17.00,1.30,1.3,
543483,D,Patrick Wiercioch,3300,,2.00,1.60,1.28,
741407,D,Seth Jones,3100,,1.00,1.60,1.28,
504303,D,Tim Erixon,2900,,9.00,1.60,1.28,
600082,C,Mika Zibanejad,3200,,1.00,1.60,1.28,
489724,D,Keith Aulie,2500,,29.00,0.90,1.26,
521640,LW,Kyle Clifford,2900,,4.00,1.50,1.2,
541196,D,Ryan Stanton,2500,,5.00,1.50,1.2,
595927,D,Mattias Ekholm,2500,,1.00,1.50,1.2,
593929,C,Brian Gibbons,2500,,7.00,1.50,1.2,
562974,LW,Taylor Beck,3000,,19.00,1.20,1.2,
607959,LW,Adam Lowry,2500,,14.00,1.20,1.2,
235763,D,Deryk Engelland,2500,,18.00,1.20,1.2,
612926,D,Josh Manson,2500,,11.00,1.20,1.2,
448201,D,Chris Butler,3500,,24.00,1.00,1.2,
235441,C,Maxim Lapierre,2700,,17.00,1.20,1.2,
174717,LW,Travis Moen,2500,,30.00,0.80,1.12,
339481,D,Adam Pardy,2500,,28.00,0.80,1.12,
269233,C,Kyle Chipchura,2500,,26.00,0.80,1.12,
504260,D,Jared Cowen,2700,,2.00,1.40,1.12,
555860,D,Dalton Prout,2500,,9.00,1.40,1.12,
296046,C,Nate Thompson,2900,,10.00,1.40,1.12,
490373,C,Colton Sceviour,2600,,16.00,1.10,1.1,
478204,LW,Dwight King,2500,,4.00,1.30,1.04,
170839,C,David Legwand,2600,,1.00,1.30,1.04,
339758,LW,Cody McLeod,2500,,15.00,1.00,1,
