ID,Position,Name,Salary,GameInfo,AvgPointsPerGame
340,D,Jack Hillen,2500,Was@StL 08:00PM ET,0.056
341,D,Grant Clitsome,2500,Wpg@Nsh 07:00PM ET,0.679
348,D,Jason Demers,2500,SJ@Cls 07:00PM ET,1.088
349,D,Paul Postma,2500,Wpg@Nsh 07:00PM ET,1.324
351,D,Frederic St-Denis,2500,SJ@Cls 07:00PM ET,1
352,D,Victor Bartley,2500,Wpg@Nsh 07:00PM ET,0.545
356,D,Brian Strait,2500,NYI@TB 07:00PM ET,1.115
362,D,Eric Gryba,2500,Ott@Cgy 10:00PM ET,0.719
368,D,Mark Barberio,2500,NYI@TB 07:00PM ET,0.4
376,D,Dalton Prout,2500,SJ@Cls 07:00PM ET,1.231
380,D,Mark Borowiecki,2500,Ott@Cgy 10:00PM ET,0.867
383,D,Mattias Ekholm,2500,Wpg@Nsh 07:00PM ET,1.25
384,D,Raphael Diaz,2500,Ott@Cgy 10:00PM ET,0.393
386,D,Nathan Beaulieu,2500,Phi@Mon 07:00PM ET,1.545
394,D,Andrej Sustr,2500,NYI@TB 07:00PM ET,1.219
395,D,Nate Schmidt,2500,Was@StL 08:00PM ET,1.031
396,D,Seth Helgeson,2500,Col@NJ 07:00PM ET,1.25
398,D,Nikita Zadorov,2500,Tor@Buf 07:00PM ET,0.667
399,D,Mirco Mueller,2500,SJ@Cls 07:00PM ET,1.733
5,C,Sidney Crosby,9000,NYR@Pit 07:00PM ET,5.58
7,C,Claude Giroux,8800,Phi@Mon 07:00PM ET,5.78
24,C,Evgeni Malkin,7800,NYR@Pit 07:00PM ET,4.18
26,C,Steven Stamkos,7800,NYI@TB 07:00PM ET,4.794
35,C,John Tavares,6900,NYI@TB 07:00PM ET,4.263
40,C,Joe Pavelski,6700,SJ@Cls 07:00PM ET,4.217
42,C,Logan Couture,6700,SJ@Cls 07:00PM ET,4.356
44,C,Nicklas Backstrom,6600,Was@StL 08:00PM ET,3.494
52,C,Tyler Johnson,6400,NYI@TB 07:00PM ET,4.176
53,C,Boone Jenner,6400,SJ@Cls 07:00PM ET,3.5
71,C,Jori Lehtera,6000,Was@StL 08:00PM ET,3.563
72,C,Marcus Johansson,6000,Was@StL 08:00PM ET,3.375
73,C,Ryan Johansen,6000,SJ@Cls 07:00PM ET,4.375
74,C,Tyler Bozak,5900,Tor@Buf 07:00PM ET,3.659
76,C,Nathan MacKinnon,5900,Col@NJ 07:00PM ET,3.383
78,C,Sean Monahan,5700,Ott@Cgy 10:00PM ET,3.278
81,C,Matt Duchene,5600,Col@NJ 07:00PM ET,3.261
83,C,Joe Thornton,5400,SJ@Cls 07:00PM ET,3.306
86,C,Frans Nielsen,5400,NYI@TB 07:00PM ET,3.619
87,C,Brock Nelson,5400,NYI@TB 07:00PM ET,3.656
88,C,Tomas Plekanec,5300,Phi@Mon 07:00PM ET,3.529
90,C,David Backes,5200,Was@StL 08:00PM ET,2.767
100,C,Valtteri Filppula,5000,NYI@TB 07:00PM ET,2.941
103,C,Derick Brassard,5000,NYR@Pit 07:00PM ET,3.156
104,C,Tyler Ennis,5000,Tor@Buf 07:00PM ET,2.678
109,C,Kyle Turris,4900,Ott@Cgy 10:00PM ET,2.856
110,C,Brayden Schenn,4900,Phi@Mon 07:00PM ET,2.967
