Pid,Pn,Name,S,Team,Or,Ppg,new projected,Home,Last 10,vsBackup,isStarter,Ppg - Archive,Projected,HomeXOR,HomeXPpg
607971,D,Klas Dahlbeck,"2,500.00",,17.00,0.00,2.38,TRUE,,,,0.0,0.00,17,0
593940,D,Zach Redmond,"3,700.00",,12.00,2.30,2.34,FALSE,,,,2.3,2.30,0,0
184264,RW,P.A. Parenteau,"3,900.00",,9.00,2.30,2.34,FALSE,,TRUE,,2.3,2.19,0,0
554489,RW,Devante Smith-Pelly,"4,000.00",,4.00,2.20,2.25,FALSE,,,,2.2,1.76,0,0
504309,RW,Kyle Palmieri,"3,200.00",,4.00,2.20,2.25,FALSE,,,,2.2,1.76,0,0
326034,G,Niklas Backstrom,"7,000.00",,11.00,0.00,2.17,TRUE,,,,3.3,0.00,11,0
417017,LW,Patrick Maroon,"3,700.00",,12.00,2.10,2.16,FALSE,,,,2.1,2.10,0,0
656516,D,Karl Stollery,"2,500.00",,12.00,2.00,2.07,FALSE,,,,2.0,2.00,0,0
451706,C,David Desharnais,"3,700.00",,10.00,2.00,2.07,FALSE,,,,2.0,1.60,0,0
231130,G,Corey Crawford,"8,900.00",,7.00,0.00,2.03,TRUE,,,,5.1,0.00,7,0
655193,G,Scott Darling,"6,700.00",,7.00,0.00,2.03,TRUE,,,,5.6,0.00,7,0
659813,D,Hampus Lindholm,"3,500.00",,4.00,2.00,2.01,FALSE,TRUE,,,2.0,2.00,0,0
329424,D,Jan Hejda,"2,800.00",,12.00,1.90,1.98,FALSE,,,,1.9,1.90,0,0
477659,RW,Dale Weise,"2,800.00",,9.00,1.80,1.89,FALSE,,TRUE,,1.8,1.71,0,0
170782,C,Daniel Briere,"3,800.00",,6.00,1.80,1.89,FALSE,,TRUE,,1.8,1.71,0,0
831151,LW,Jiri Sekac,"3,000.00",,5.00,1.70,1.80,FALSE,,TRUE,,1.7,1.62,0,0
184270,D,Tom Gilbert,"2,700.00",,6.00,1.70,1.80,FALSE,,TRUE,,1.7,1.62,0,0
300806,C,Andrew Cogliano,"3,000.00",,4.00,1.70,1.80,FALSE,,,,1.7,1.36,0,0
170280,D,Sergei Gonchar,"3,100.00",,6.00,1.60,1.71,FALSE,,TRUE,,1.6,1.52,0,0
597144,D,Alexei Emelin,"2,900.00",,6.00,1.60,1.71,FALSE,,TRUE,,1.6,1.52,0,0
296028,C,John Mitchell,"2,800.00",,6.00,1.60,1.71,FALSE,,TRUE,,1.6,1.52,0,0
447294,D,Nick Holden,"2,800.00",,12.00,1.50,1.62,FALSE,,,,1.5,1.50,0,0
