Pid,Pn,Player Name,Salary,Team,OPRK,Points,Projected
570272,C,Adam Henrique,3900,,14,2.7,2.34336
177995,C,Chris Kelly,2500,,30,1.9,2.20736
600079,C,Ryan Strome,4800,,8,2.7,2.09436
593803,C,Mark Arcobello,3300,,16,2.2,1.92636
329417,C,Mikhail Grabovski,4000,,8,2.4,1.79436
172229,C,Boyd Gordon,2900,,16,1.9,1.62636
184276,C,Gregory Campbell,2500,,30,1.3,1.60736
170456,C,Patrik Elias,3600,,14,1.9,1.54336
395980,C,Artem Anisimov,3400,,11,2.0,1.51886
269235,C,Travis Zajac,3700,,14,1.8,1.44336
472380,C,Nick Spaling,2600,,23,1.4,1.41686
593929,C,Brian Gibbons,2700,,11,1.8,1.31886
729821,C,Anders Lee,3500,,8,1.9,1.29436
831068,C,Leon Draisaitl,2900,,16,1.5,1.22636
178004,C,Marcel Goc,2500,,23,1.1,1.11686
451925,C,Stephen Gionta,2500,,14,1.4,1.04336
504300,C,Jacob Josefson,2800,,14,1.0,0.64336
521884,C,Casey Cizikas,2500,,8,1.2,0.59436
741444,C,Alexander Wennberg,2500,,11,1.0,0.51886
521555,C,Zach Sill,2500,,23,0.4,0.41686
