ID,Position,Name,Salary,GameInfo,AvgPointsPerGame
1,C,Sidney Crosby,8800,Pit@Tor 07:30PM ET,5.657
2,C,Claude Giroux,8500,Cls@Phi 07:00PM ET,5.55
3,C,Evgeni Malkin,7800,Pit@Tor 07:30PM ET,4.371
4,C,Pavel Datsyuk,7500,Chi@Det 07:30PM ET,4.938
5,C,John Tavares,7100,NYI@Fla 07:30PM ET,4.28
6,C,Nicklas Backstrom,6600,NJ@Was 07:00PM ET,3.66
7,C,Boone Jenner,6400,Cls@Phi 07:00PM ET,4.125
8,C,Jonathan Toews,6000,Chi@Det 07:30PM ET,3.469
9,C,Marcus Johansson,6000,NJ@Was 07:00PM ET,3.467
10,C,Ryan Johansen,6000,Cls@Phi 07:00PM ET,4.033
11,C,Henrik Zetterberg,5900,Chi@Det 07:30PM ET,4.1
12,C,Tyler Bozak,5900,Pit@Tor 07:30PM ET,3.763
13,C,Nick Bonino,5900,Ari@Van 10:00PM ET,3.659
14,C,Frans Nielsen,5400,NYI@Fla 07:30PM ET,3.68
15,C,Brock Nelson,5400,NYI@Fla 07:30PM ET,3.9
16,C,Brad Richards,5200,Chi@Det 07:30PM ET,2.719
17,C,Brayden Schenn,4900,Cls@Phi 07:00PM ET,2.929
18,C,Brandon Sutter,4700,Pit@Tor 07:30PM ET,2.964
19,C,Antoine Vermette,4600,Ari@Van 10:00PM ET,2.513
20,C,Henrik Sedin,4300,Ari@Van 10:00PM ET,3.059
21,C,Martin Hanzal,4300,Ari@Van 10:00PM ET,2.5
22,C,Ryan Strome,4300,NYI@Fla 07:30PM ET,2.533
23,C,Travis Zajac,4000,NJ@Was 07:00PM ET,2.031
24,C,Mike Santorelli,4000,Pit@Tor 07:30PM ET,2.219
25,C,Nick Bjugstad,4000,NYI@Fla 07:30PM ET,2.154
26,C,Adam Henrique,4000,NJ@Was 07:00PM ET,2.808
27,C,Jussi Jokinen,3800,NYI@Fla 07:30PM ET,2.154
28,C,Sam Gagner,3800,Ari@Van 10:00PM ET,1.813
29,C,Nazem Kadri,3800,Pit@Tor 07:30PM ET,2.281
30,C,Vincent Lecavalier,3600,Cls@Phi 07:00PM ET,2.625
31,C,Peter Holland,3600,Pit@Tor 07:30PM ET,2.094
32,C,Leo Komarov,3500,Pit@Tor 07:30PM ET,2.625
33,C,Darren Helm,3400,Chi@Det 07:30PM ET,1.8
34,C,Sean Couturier,3400,Cls@Phi 07:00PM ET,2.286
35,C,Vincent Trocheck,3400,NYI@Fla 07:30PM ET,1.9
36,C,Mikhail Grabovski,3300,NYI@Fla 07:30PM ET,2.375
37,C,Evgeny Kuznetsov,3300,NJ@Was 07:00PM ET,1.693
38,C,Andrew Shaw,3300,Chi@Det 07:30PM ET,2.125
39,C,Anders Lee,3300,NYI@Fla 07:30PM ET,1.889
40,C,Riley Sheahan,3200,Chi@Det 07:30PM ET,1.6
41,C,Brian Gibbons,3200,Cls@Phi 07:00PM ET,2.1
42,C,Shawn Matthias,3000,Ari@Van 10:00PM ET,1.5
43,C,Marcus Kruger,2900,Chi@Det 07:30PM ET,1.938
44,C,Aleksander Barkov,2900,NYI@Fla 07:30PM ET,1.25
45,C,Patrik Elias,2800,NJ@Was 07:00PM ET,1.656
46,C,Derek MacKenzie,2800,NYI@Fla 07:30PM ET,1.769
47,C,R.J. Umberger,2800,Cls@Phi 07:00PM ET,1.5
48,C,Brad Richardson,2800,Ari@Van 10:00PM ET,2.029
49,C,Nick Spaling,2800,Pit@Tor 07:30PM ET,1.393
50,C,Jay Beagle,2700,NJ@Was 07:00PM ET,1.55
51,C,Stephen Gionta,2600,NJ@Was 07:00PM ET,1.438
52,C,Joe Vitale,2600,Ari@Van 10:00PM ET,1.4
53,C,Marcel Goc,2500,Pit@Tor 07:30PM ET,1.071
54,C,Brooks Laich,2500,NJ@Was 07:00PM ET,0.833
55,C,Kyle Chipchura,2500,Ari@Van 10:00PM ET,0.95
56,C,Blair Jones,2500,Cls@Phi 07:00PM ET,0.071
57,C,Trevor Smith,2500,Pit@Tor 07:30PM ET,2.5
58,C,Dana Tyrell,2500,Cls@Phi 07:00PM ET,0.5
59,C,Peter Regin,2500,Chi@Det 07:30PM ET,0.833
